"Story","Title","Result","Date","Stability","Duration (s)"
"Podam factory basic types test","Invoking Podam on a POJO with a circular constructor (e.g. java.net.URL) leads to a null POJO","SUCCESS","2015-05-31T09:27:38.617+01:00","0.0","0.08"
"Podam factory basic types test","Invoking Podam on a POJO with a private, no arguments constructor, should return a non null POJO","SUCCESS","2015-05-31T09:27:38.297+01:00","0.0","0.21"
"Podam factory basic types test","Invoking Podam on a POJO with both circular and non circular constructors (e.g. javax.activation.DataHandler) should lead to a non empty POJO","SUCCESS","2015-05-31T09:27:39.257+01:00","0.0","0.04"
"Podam factory basic types test","Invoking Podam on an Abstract class should return a null pojo","SUCCESS","2015-05-31T09:27:38.991+01:00","0.0","0.03"
"Podam factory basic types test","Invoking Podam on an interface should return an empty POJO","SUCCESS","2015-05-31T09:27:38.839+01:00","0.0","0.03"
"Podam factory basic types test","Podam should fill POJOs with non default constructors","SUCCESS","2015-05-31T09:27:39.073+01:00","0.0","0.03"
"Podam factory basic types test","Podam should fill embedded abstract classes if a concrete type has been specified","SUCCESS","2015-05-31T09:27:38.796+01:00","0.0","0.04"
"Podam factory basic types test","Podam should fill in Maps of the containing class type","SUCCESS","2015-05-31T09:27:38.702+01:00","0.0","0.09"
"Podam factory basic types test","Podam should fill in POJOs which have a circular dependency","SUCCESS","2015-05-31T09:27:39.225+01:00","0.0","0.03"
"Podam factory basic types test","Podam should fill in a POJO with basic jvm types","SUCCESS","2015-05-31T09:27:38.867+01:00","0.0","0.05"
"Podam factory basic types test","Podam should fill in lists of the containing class type","SUCCESS","2015-05-31T09:27:39.101+01:00","0.0","0.09"
"Podam factory basic types test","Podam should fill recursive POJOs correctly, including all their fields","SUCCESS","2015-05-31T09:27:39.044+01:00","0.0","0.03"
"Podam factory basic types test","Podam should fill recursive POJOs when invoking the factory population directly","SUCCESS","2015-05-31T09:27:39.017+01:00","0.0","0.03"
"Podam factory basic types test","Podam should generate a non null POJO for Abstract types with a concrete type","SUCCESS","2015-05-31T09:27:39.193+01:00","0.0","0.03"
"Podam factory basic types test","Podam should handle immutable POJOs annotated with @PodamConstructor","SUCCESS","2015-05-31T09:27:38.923+01:00","0.0","0.07"
