"Story","Title","Result","Date","Stability","Duration (s)"
"Podam factory basic types test","Invoking Podam on an Abstract class should return a null pojo","SUCCESS","2016-08-21T23:44:58.708+07:00","0.0","0.04"
"Podam factory basic types test","Invoking Podam on an interface should return an empty POJO","SUCCESS","2016-08-21T23:44:58.623+07:00","0.0","0.03"
"Podam factory basic types test","Podam should fill Java native types","SUCCESS","2016-08-21T23:44:58.456+07:00","0.0","0.05"
"Podam factory basic types test","Podam should fill POJOs with non default constructors","SUCCESS","2016-08-21T23:44:58.864+07:00","0.0","0.03"
"Podam factory basic types test","Podam should fill arrays with elements","SUCCESS","2016-08-21T23:44:58.785+07:00","0.0","0.04"
"Podam factory basic types test","Podam should fill in Maps of the containing class type","SUCCESS","2016-08-21T23:44:58.535+07:00","0.0","0.09"
"Podam factory basic types test","Podam should fill in POJOs which have a circular dependency","SUCCESS","2016-08-21T23:44:58.958+07:00","0.0","0.07"
"Podam factory basic types test","Podam should fill in POJOs with Enums","SUCCESS","2016-08-21T23:44:58.504+07:00","0.0","0.03"
"Podam factory basic types test","Podam should fill in a POJO with basic jvm types","SUCCESS","2016-08-21T23:44:58.655+07:00","0.0","0.05"
"Podam factory basic types test","Podam should fill in lists of the containing class type","SUCCESS","2016-08-21T23:44:58.892+07:00","0.0","0.07"
"Podam factory basic types test","Podam should fill recursive POJOs correctly, including all their fields","SUCCESS","2016-08-21T23:44:58.829+07:00","0.0","0.03"
"Podam factory basic types test","Podam should fill recursive POJOs when invoking the factory population directly","SUCCESS","2016-08-21T23:44:58.748+07:00","0.0","0.04"
"Podam factory basic types test","Podam should handle immutable non annotated POJOs","SUCCESS","2016-08-21T23:44:58.414+07:00","0.0","0.04"
