"Story","Title","Result","Date","Stability","Duration (s)"
"Abnormal pojos test","Invoking Podam on a POJO with a circular constructor (e.g. java.net.URL) leads to a null POJO","SUCCESS","2016-08-21T23:45:00.863+07:00","0.0","0.04"
"Abnormal pojos test","Invoking Podam on a POJO with a private, no arguments constructor, should return a non null POJO","SUCCESS","2016-08-21T23:45:00.828+07:00","0.0","0.03"
"Abnormal pojos test","Invoking Podam on a POJO with both circular and non circular constructors (e.g. javax.activation.DataHandler) should lead to a non empty POJO","SUCCESS","2016-08-21T23:45:01.114+07:00","0.0","0.04"
"Abnormal pojos test","Podam should fill POJOs with protected, non default constructors","SUCCESS","2016-08-21T23:45:00.960+07:00","0.0","0.02"
"Abnormal pojos test","Podam should fill POJOs with public, non default constructors","SUCCESS","2016-08-21T23:45:00.904+07:00","0.0","0.03"
"Abnormal pojos test","Podam should fill embedded abstract classes if a concrete type has been specified","SUCCESS","2016-08-21T23:45:00.933+07:00","0.0","0.03"
"Abnormal pojos test","Podam should fill values invoking children setters accepting a type different from the parent type","SUCCESS","2016-08-21T23:45:00.801+07:00","0.0","0.03"
"Abnormal pojos test","Podam should generate a non null POJO for Abstract types with a concrete type","SUCCESS","2016-08-21T23:45:01.009+07:00","0.0","0.02"
"Abnormal pojos test","Podam should handle POJOs with private constructors only","SUCCESS","2016-08-21T23:45:01.088+07:00","0.0","0.03"
"Abnormal pojos test","Podam should handle POJOs with self reference constructors but not default constructors without the need for the @PodamConstructor annotation","SUCCESS","2016-08-21T23:45:01.033+07:00","0.0","0.03"
"Abnormal pojos test","Podam should return a null value for non instantiable POJOs","SUCCESS","2016-08-21T23:45:00.985+07:00","0.0","0.02"
"Abnormal pojos test","Podam should throw an exception if a POJO contains invalid getters or setters","SUCCESS","2016-08-21T23:45:01.064+07:00","0.0","0.02"
