"Story","Title","Result","Date","Stability","Duration (s)"
"Annotations test","Podam should assign exactly the values specified with the @PodamStrategyValue annotation","SUCCESS","2015-07-08T23:32:03.224+01:00","0.0","0.21"
"Annotations test","Podam should assign precise values and lengths when a String is annotated with @PodamStringValue","SUCCESS","2015-07-08T23:32:04.111+01:00","0.0","0.08"
"Annotations test","Podam should handle POJOs with constructors that have one or more self references to the POJO class, provided the required constructor is annotated with @PodamConstructor","SUCCESS","2015-07-08T23:32:03.694+01:00","0.0","0.09"
"Annotations test","Podam should handle both native and wrapped boolean values with @PodamBooleanValue annotation","SUCCESS","2015-07-08T23:32:02.594+01:00","0.0","0.13"
"Annotations test","Podam should handle both native and wrapped byte values with @PodamByteValue annotation","SUCCESS","2015-07-08T23:32:02.728+01:00","0.0","0.15"
"Annotations test","Podam should handle both native and wrapped char values with @PodamCharValue annotation","SUCCESS","2015-07-08T23:32:02.882+01:00","0.0","0.21"
"Annotations test","Podam should handle both native and wrapped double values with @PodamDoubleValue annotation","SUCCESS","2015-07-08T23:32:03.091+01:00","0.0","0.13"
"Annotations test","Podam should handle both native and wrapped float values with @PodamFloatValue annotation","SUCCESS","2015-07-08T23:32:03.573+01:00","0.0","0.12"
"Annotations test","Podam should handle both native and wrapped integer values with @PodamIntValue annotation","SUCCESS","2015-07-08T23:32:02.388+01:00","0.0","0.2"
"Annotations test","Podam should handle both native and wrapped long values with @PodamLongValue annotation","SUCCESS","2015-07-08T23:32:03.789+01:00","0.0","0.12"
"Annotations test","Podam should handle both native and wrapped short values with @PodamShortValue annotation","SUCCESS","2015-07-08T23:32:03.910+01:00","0.0","0.11"
"Annotations test","Podam should handle immutable POJOs annotated with @PodamConstructor","SUCCESS","2015-07-08T23:32:03.441+01:00","0.0","0.13"
"Annotations test","Podam should not fill POJO's attributes annotated with @PodamExclude","SUCCESS","2015-07-08T23:32:01.825+01:00","0.0","0.34"
"Annotations test","The @PodamCollection annotation should allow to set sizes on all collections and arrays","SUCCESS","2015-07-08T23:32:04.017+01:00","0.0","0.09"
