"Story","Title","Result","Date","Stability","Duration (s)"
"Abnormal pojos test","Invoking Podam on a POJO with a circular constructor (e.g. java.net.URL) leads to a null POJO","SUCCESS","2016-09-03T17:53:02.377+01:00","0.0","0.01"
"Abnormal pojos test","Invoking Podam on a POJO with a private, no arguments constructor, should return a non null POJO","SUCCESS","2016-09-03T17:53:02.374+01:00","0.0","0.0"
"Abnormal pojos test","Invoking Podam on a POJO with both circular and non circular constructors (e.g. javax.activation.DataHandler) should lead to a non empty POJO","SUCCESS","2016-09-03T17:53:02.409+01:00","0.0","0.01"
"Abnormal pojos test","Podam should fill POJOs with protected, non default constructors","SUCCESS","2016-09-03T17:53:02.393+01:00","0.0","0.0"
"Abnormal pojos test","Podam should fill POJOs with public, non default constructors","SUCCESS","2016-09-03T17:53:02.387+01:00","0.0","0.0"
"Abnormal pojos test","Podam should fill embedded abstract classes if a concrete type has been specified","SUCCESS","2016-09-03T17:53:02.390+01:00","0.0","0.0"
"Abnormal pojos test","Podam should fill values invoking children setters accepting a type different from the parent type","SUCCESS","2016-09-03T17:53:02.371+01:00","0.0","0.0"
"Abnormal pojos test","Podam should generate a non null POJO for Abstract types with a concrete type","SUCCESS","2016-09-03T17:53:02.398+01:00","0.0","0.0"
"Abnormal pojos test","Podam should handle POJOs with private constructors only","SUCCESS","2016-09-03T17:53:02.405+01:00","0.0","0.0"
"Abnormal pojos test","Podam should handle POJOs with self reference constructors but not default constructors without the need for the @PodamConstructor annotation","SUCCESS","2016-09-03T17:53:02.399+01:00","0.0","0.0"
"Abnormal pojos test","Podam should return a null value for non instantiable POJOs","SUCCESS","2016-09-03T17:53:02.396+01:00","0.0","0.0"
"Abnormal pojos test","Podam should throw an exception if a POJO contains invalid getters or setters","SUCCESS","2016-09-03T17:53:02.404+01:00","0.0","0.0"
