"Story","Title","Result","Date","Stability","Duration (s)"
"Type manufacturing test","Podam Messaging System should return a Byte wrapped value","SUCCESS","2016-08-21T23:45:02.514+07:00","0.0","0.02"
"Type manufacturing test","Podam Messaging System should return a Character wrapped value","SUCCESS","2016-08-21T23:45:02.662+07:00","0.0","0.03"
"Type manufacturing test","Podam Messaging System should return a Double wrapped value","SUCCESS","2016-08-21T23:45:02.756+07:00","0.0","0.03"
"Type manufacturing test","Podam Messaging System should return a Float wrapped value","SUCCESS","2016-08-21T23:45:02.250+07:00","0.0","0.04"
"Type manufacturing test","Podam Messaging System should return a Generic Type value","SUCCESS","2016-08-21T23:45:02.610+07:00","0.0","0.03"
"Type manufacturing test","Podam Messaging System should return a Long wrapped value","SUCCESS","2016-08-21T23:45:02.347+07:00","0.0","0.03"
"Type manufacturing test","Podam Messaging System should return a Short wrapped value","SUCCESS","2016-08-21T23:45:02.586+07:00","0.0","0.02"
"Type manufacturing test","Podam Messaging System should return a String value","SUCCESS","2016-08-21T23:45:02.538+07:00","0.0","0.02"
"Type manufacturing test","Podam Messaging System should return a boolean primitive value","SUCCESS","2016-08-21T23:45:02.720+07:00","0.0","0.04"
"Type manufacturing test","Podam Messaging System should return a boolean wrapped value","SUCCESS","2016-08-21T23:45:02.462+07:00","0.0","0.03"
"Type manufacturing test","Podam Messaging System should return a byte primitive value","SUCCESS","2016-08-21T23:45:02.435+07:00","0.0","0.03"
"Type manufacturing test","Podam Messaging System should return a char primitive value","SUCCESS","2016-08-21T23:45:02.488+07:00","0.0","0.03"
"Type manufacturing test","Podam Messaging System should return a double primitive value","SUCCESS","2016-08-21T23:45:02.687+07:00","0.0","0.03"
"Type manufacturing test","Podam Messaging System should return a float primitive value","SUCCESS","2016-08-21T23:45:02.636+07:00","0.0","0.03"
"Type manufacturing test","Podam Messaging System should return a long primitive value","SUCCESS","2016-08-21T23:45:02.375+07:00","0.0","0.03"
"Type manufacturing test","Podam Messaging System should return a short primitive value","SUCCESS","2016-08-21T23:45:02.286+07:00","0.0","0.03"
"Type manufacturing test","Podam Messaging System should return an Enum value","SUCCESS","2016-08-21T23:45:02.315+07:00","0.0","0.03"
"Type manufacturing test","Podam Messaging System should return an int primitive value","SUCCESS","2016-08-21T23:45:02.563+07:00","0.0","0.02"
"Type manufacturing test","Podam Messaging System should return an integer value","SUCCESS","2016-08-21T23:45:02.404+07:00","0.0","0.03"
