"Story","Title","Result","Date","Stability","Duration (s)"
"Type manufacturing test","Podam Messaging System should return a Byte wrapped value","SUCCESS","2015-09-27T14:32:30.522+01:00","0.0","0.07"
"Type manufacturing test","Podam Messaging System should return a Character wrapped value","SUCCESS","2015-09-27T14:32:30.931+01:00","0.0","0.07"
"Type manufacturing test","Podam Messaging System should return a Double wrapped value","SUCCESS","2015-09-27T14:32:31.135+01:00","0.0","0.07"
"Type manufacturing test","Podam Messaging System should return a Float wrapped value","SUCCESS","2015-09-27T14:32:29.836+01:00","0.0","0.08"
"Type manufacturing test","Podam Messaging System should return a Generic Type value","SUCCESS","2015-09-27T14:32:30.793+01:00","0.0","0.07"
"Type manufacturing test","Podam Messaging System should return a Long wrapped value","SUCCESS","2015-09-27T14:32:30.061+01:00","0.0","0.07"
"Type manufacturing test","Podam Messaging System should return a Short wrapped value","SUCCESS","2015-09-27T14:32:30.726+01:00","0.0","0.07"
"Type manufacturing test","Podam Messaging System should return a String value","SUCCESS","2015-09-27T14:32:30.591+01:00","0.0","0.07"
"Type manufacturing test","Podam Messaging System should return a boolean primitive value","SUCCESS","2015-09-27T14:32:31.069+01:00","0.0","0.07"
"Type manufacturing test","Podam Messaging System should return a boolean wrapped value","SUCCESS","2015-09-27T14:32:30.384+01:00","0.0","0.07"
"Type manufacturing test","Podam Messaging System should return a byte primitive value","SUCCESS","2015-09-27T14:32:30.314+01:00","0.0","0.07"
"Type manufacturing test","Podam Messaging System should return a char primitive value","SUCCESS","2015-09-27T14:32:30.459+01:00","0.0","0.06"
"Type manufacturing test","Podam Messaging System should return a double primitive value","SUCCESS","2015-09-27T14:32:30.998+01:00","0.0","0.07"
"Type manufacturing test","Podam Messaging System should return a float primitive value","SUCCESS","2015-09-27T14:32:30.864+01:00","0.0","0.07"
"Type manufacturing test","Podam Messaging System should return a long primitive value","SUCCESS","2015-09-27T14:32:30.134+01:00","0.0","0.11"
"Type manufacturing test","Podam Messaging System should return a short primitive value","SUCCESS","2015-09-27T14:32:29.913+01:00","0.0","0.07"
"Type manufacturing test","Podam Messaging System should return an Enum value","SUCCESS","2015-09-27T14:32:29.984+01:00","0.0","0.08"
"Type manufacturing test","Podam Messaging System should return an int primitive value","SUCCESS","2015-09-27T14:32:30.659+01:00","0.0","0.07"
"Type manufacturing test","Podam Messaging System should return an integer value","SUCCESS","2015-09-27T14:32:30.249+01:00","0.0","0.06"
