"Story","Title","Result","Date","Stability","Duration (s)"
"Random data provider strategy impl initialisation unit test","Creating a Random Data Provider Strategy should create a Method heavy comparator","SUCCESS","2023-07-29T17:16:35.039+03:00","0.0","0.1"
"Random data provider strategy impl initialisation unit test","Creating a Random Data Provider Strategy should create a Method light comparator","SUCCESS","2023-07-29T17:16:35.255+03:00","0.0","0.12"
"Random data provider strategy impl initialisation unit test","Creating a Random Data Provider Strategy should create a constructor heavy comparator","SUCCESS","2023-07-29T17:16:34.879+03:00","0.0","0.16"
"Random data provider strategy impl initialisation unit test","Creating a Random Data Provider Strategy should create a constructor light comparator","SUCCESS","2023-07-29T17:16:35.143+03:00","0.0","0.11"
"Memoization test","Even when memoization is true, if generics Pojos have different types, objects should not be equal","SUCCESS","2023-07-29T17:16:40.416+03:00","0.0","0.11"
"Class info test","In Presence of excluded attributes, the Class Info object should not contain those attributes","SUCCESS","2023-07-29T17:16:29.102+03:00","0.0","0.13"
"Abnormal pojos test","Invoking Podam on a POJO with a circular constructor (e.g. java.net.URL) leads to a null POJO","SUCCESS","2023-07-29T17:16:35.829+03:00","0.0","0.13"
"Abnormal pojos test","Invoking Podam on a POJO with a private, no arguments constructor, should return a non null POJO","SUCCESS","2023-07-29T17:16:35.719+03:00","0.0","0.11"
"Abnormal pojos test","Invoking Podam on a POJO with both circular and non circular constructors (e.g. javax.activation.DataHandler) should lead to a non empty POJO","SUCCESS","2023-07-29T17:16:36.887+03:00","0.0","0.12"
"Podam factory basic types test","Invoking Podam on an Abstract class should return a null pojo","SUCCESS","2023-07-29T17:16:26.813+03:00","0.0","0.13"
"Podam factory basic types test","Invoking Podam on an interface should return an empty POJO","SUCCESS","2023-07-29T17:16:26.447+03:00","0.0","0.11"
"Memoization test","Memoization should work correctly for collections and arrays","SUCCESS","2023-07-29T17:16:40.081+03:00","0.0","0.12"
"Memoization test","Memoization should work for recursive Pojos","SUCCESS","2023-07-29T17:16:40.201+03:00","0.0","0.11"
"Memoization test","Memoization should work with Generics","SUCCESS","2023-07-29T17:16:40.309+03:00","0.0","0.11"
"Type manufacturing test","Podam Messaging System should return a Byte wrapped value","SUCCESS","2023-07-29T17:16:41.959+03:00","0.0","0.1"
"Type manufacturing test","Podam Messaging System should return a Character wrapped value","SUCCESS","2023-07-29T17:16:42.491+03:00","0.0","0.11"
"Type manufacturing test","Podam Messaging System should return a Double wrapped value","SUCCESS","2023-07-29T17:16:42.819+03:00","0.0","0.11"
"Type manufacturing test","Podam Messaging System should return a Float wrapped value","SUCCESS","2023-07-29T17:16:40.831+03:00","0.0","0.12"
"Type manufacturing test","Podam Messaging System should return a Long wrapped value","SUCCESS","2023-07-29T17:16:41.189+03:00","0.0","0.12"
"Type manufacturing test","Podam Messaging System should return a Short wrapped value","SUCCESS","2023-07-29T17:16:42.269+03:00","0.0","0.11"
"Type manufacturing test","Podam Messaging System should return a String value","SUCCESS","2023-07-29T17:16:42.062+03:00","0.0","0.11"
"Type manufacturing test","Podam Messaging System should return a boolean primitive value","SUCCESS","2023-07-29T17:16:42.714+03:00","0.0","0.11"
"Type manufacturing test","Podam Messaging System should return a boolean wrapped value","SUCCESS","2023-07-29T17:16:41.643+03:00","0.0","0.1"
"Type manufacturing test","Podam Messaging System should return a byte primitive value","SUCCESS","2023-07-29T17:16:41.533+03:00","0.0","0.11"
"Type manufacturing test","Podam Messaging System should return a char primitive value","SUCCESS","2023-07-29T17:16:41.747+03:00","0.0","0.21"
"Type manufacturing test","Podam Messaging System should return a double primitive value","SUCCESS","2023-07-29T17:16:42.603+03:00","0.0","0.11"
"Type manufacturing test","Podam Messaging System should return a float primitive value","SUCCESS","2023-07-29T17:16:42.379+03:00","0.0","0.11"
"Type manufacturing test","Podam Messaging System should return a long primitive value","SUCCESS","2023-07-29T17:16:41.310+03:00","0.0","0.11"
"Type manufacturing test","Podam Messaging System should return a short primitive value","SUCCESS","2023-07-29T17:16:40.954+03:00","0.0","0.12"
"Type manufacturing test","Podam Messaging System should return an Enum value","SUCCESS","2023-07-29T17:16:41.069+03:00","0.0","0.12"
"Type manufacturing test","Podam Messaging System should return an int primitive value","SUCCESS","2023-07-29T17:16:42.169+03:00","0.0","0.1"
"Type manufacturing test","Podam Messaging System should return an integer value","SUCCESS","2023-07-29T17:16:41.421+03:00","0.0","0.11"
"External factory unit test","Podam cannot fill interface attributes if the external factory does not manufacture the right type","SUCCESS","2023-07-29T17:16:38.274+03:00","0.0","0.21"
"Multiple interfaces inheritance test","Podam cannot instantiate interfaces","SUCCESS","2023-07-29T17:16:39.614+03:00","0.0","0.12"
"Multiple interfaces inheritance test","Podam cannot instantiate interfaces which extend Map","SUCCESS","2023-07-29T17:16:39.366+03:00","0.0","0.13"
"Validated pojo test","Podam should allow validation annotations customization","SUCCESS","2023-07-29T17:16:43.329+03:00","0.0","0.12"
"Annotations test","Podam should assign exactly the values specified with the @Email annotation","SUCCESS","2023-07-29T17:16:22.621+03:00","0.0","0.11"
"Annotations test","Podam should assign exactly the values specified with the @PodamStrategyValue annotation","SUCCESS","2023-07-29T17:16:21.411+03:00","0.0","0.2"
"Annotations test","Podam should assign precise values and lengths when a String is annotated with @PodamStringValue","SUCCESS","2023-07-29T17:16:22.729+03:00","0.0","0.12"
"Factory unit test","Podam should be able to create an abstract class with help of factory","SUCCESS","2023-07-29T17:16:38.724+03:00","0.0","0.13"
"Collections test","Podam should be able to create instances of Concurrent Hash Maps with interface values","SUCCESS","2023-07-29T17:16:30.145+03:00","0.0","0.12"
"Collections test","Podam should be able to create instances of Hash Maps with interface values","SUCCESS","2023-07-29T17:16:30.653+03:00","0.0","0.12"
"Constructors unit test","Podam should be able to create instances of JAXBElement","SUCCESS","2023-07-29T17:16:33.912+03:00","0.0","0.11"
"Constructors unit test","Podam should be able to create instances of JAXBElements declared as instance variables in a POJO","SUCCESS","2023-07-29T17:16:31.442+03:00","0.0","0.12"
"Collections test","Podam should be able to create instances of Sorted Maps with interface values","SUCCESS","2023-07-29T17:16:29.517+03:00","0.0","0.11"
"Constructors unit test","Podam should be able to create instances of abstract POJOs with factory methods which return concrete types","SUCCESS","2023-07-29T17:16:33.595+03:00","0.0","0.1"
"Constructors unit test","Podam should be able to create instances of generic POJOs with factory methods when the concrete type is known","SUCCESS","2023-07-29T17:16:32.325+03:00","0.0","0.14"
"Constructors unit test","Podam should be able to create instances of generic read only POJOs with factory methods when the concrete type is known","SUCCESS","2023-07-29T17:16:33.229+03:00","0.0","0.11"
"Constructors unit test","Podam should be able to create instances of inner classes","SUCCESS","2023-07-29T17:16:31.684+03:00","0.0","0.13"
"Collections test","Podam should be able to fill in POJOs with JsonNullable collection wrapper","SUCCESS","2023-07-29T17:16:30.385+03:00","0.0","0.14"
"Collections test","Podam should be able to fill in POJOs with raw type collection attributes and default values to Object","SUCCESS","2023-07-29T17:16:29.387+03:00","0.0","0.13"
"Class info test","Podam should be able to find attributes with pattern [a-z][0-9]","SUCCESS","2023-07-29T17:16:28.973+03:00","0.0","0.13"
