"Story","Title","Result","Date","Stability","Duration (s)"
"Annotations test","Podam should assign exactly the values specified with the @PodamStrategyValue annotation","SUCCESS","2016-10-09T18:32:54.209+03:00","0.0","0.04"
"Annotations test","Podam should assign precise values and lengths when a String is annotated with @PodamStringValue","SUCCESS","2016-10-09T18:32:54.445+03:00","0.0","0.01"
"Annotations test","Podam should handle POJOs with annotated field and setter","SUCCESS","2016-10-09T18:32:54.274+03:00","0.0","0.01"
"Annotations test","Podam should handle POJOs with constructors that have one or more self references to the POJO class, provided the required constructor is annotated with @PodamConstructor","SUCCESS","2016-10-09T18:32:54.319+03:00","0.0","0.02"
"Annotations test","Podam should handle both native and wrapped boolean values with @PodamBooleanValue annotation","SUCCESS","2016-10-09T18:32:54.118+03:00","0.0","0.03"
"Annotations test","Podam should handle both native and wrapped byte values with @PodamByteValue annotation","SUCCESS","2016-10-09T18:32:54.156+03:00","0.0","0.02"
"Annotations test","Podam should handle both native and wrapped char values with @PodamCharValue annotation","SUCCESS","2016-10-09T18:32:54.176+03:00","0.0","0.02"
"Annotations test","Podam should handle both native and wrapped double values with @PodamDoubleValue annotation","SUCCESS","2016-10-09T18:32:54.195+03:00","0.0","0.01"
"Annotations test","Podam should handle both native and wrapped float values with @PodamFloatValue annotation","SUCCESS","2016-10-09T18:32:54.295+03:00","0.0","0.02"
"Annotations test","Podam should handle both native and wrapped integer values with @PodamIntValue annotation","SUCCESS","2016-10-09T18:32:54.087+03:00","0.0","0.03"
"Annotations test","Podam should handle both native and wrapped long values with @PodamLongValue annotation","SUCCESS","2016-10-09T18:32:54.341+03:00","0.0","0.03"
"Annotations test","Podam should handle both native and wrapped short values with @PodamShortValue annotation","SUCCESS","2016-10-09T18:32:54.369+03:00","0.0","0.04"
"Annotations test","Podam should handle immutable POJOs annotated with @PodamConstructor","SUCCESS","2016-10-09T18:32:54.252+03:00","0.0","0.02"
"Annotations test","Podam should not fill POJO's attributes annotated with @PodamExclude","SUCCESS","2016-10-09T18:32:54.073+03:00","0.0","0.01"
"Annotations test","The @PodamCollection annotation should allow to set sizes on all collections and arrays","SUCCESS","2016-10-09T18:32:54.414+03:00","0.0","0.03"
