"Story","Title","Result","Date","Stability","Duration (s)"
"Annotations test","Podam should assign exactly the values specified with the @PodamStrategyValue annotation","SUCCESS","2015-07-10T00:17:21.175+01:00","0.0","0.22"
"Annotations test","Podam should assign precise values and lengths when a String is annotated with @PodamStringValue","SUCCESS","2015-07-10T00:17:22.107+01:00","0.0","0.09"
"Annotations test","Podam should handle POJOs with constructors that have one or more self references to the POJO class, provided the required constructor is annotated with @PodamConstructor","SUCCESS","2015-07-10T00:17:21.655+01:00","0.0","0.11"
"Annotations test","Podam should handle both native and wrapped boolean values with @PodamBooleanValue annotation","SUCCESS","2015-07-10T00:17:20.567+01:00","0.0","0.14"
"Annotations test","Podam should handle both native and wrapped byte values with @PodamByteValue annotation","SUCCESS","2015-07-10T00:17:20.705+01:00","0.0","0.14"
"Annotations test","Podam should handle both native and wrapped char values with @PodamCharValue annotation","SUCCESS","2015-07-10T00:17:20.852+01:00","0.0","0.16"
"Annotations test","Podam should handle both native and wrapped double values with @PodamDoubleValue annotation","SUCCESS","2015-07-10T00:17:21.013+01:00","0.0","0.16"
"Annotations test","Podam should handle both native and wrapped float values with @PodamFloatValue annotation","SUCCESS","2015-07-10T00:17:21.530+01:00","0.0","0.12"
"Annotations test","Podam should handle both native and wrapped integer values with @PodamIntValue annotation","SUCCESS","2015-07-10T00:17:20.370+01:00","0.0","0.19"
"Annotations test","Podam should handle both native and wrapped long values with @PodamLongValue annotation","SUCCESS","2015-07-10T00:17:21.770+01:00","0.0","0.12"
"Annotations test","Podam should handle both native and wrapped short values with @PodamShortValue annotation","SUCCESS","2015-07-10T00:17:21.895+01:00","0.0","0.1"
"Annotations test","Podam should handle immutable POJOs annotated with @PodamConstructor","SUCCESS","2015-07-10T00:17:21.398+01:00","0.0","0.13"
"Annotations test","Podam should not fill POJO's attributes annotated with @PodamExclude","SUCCESS","2015-07-10T00:17:19.861+01:00","0.0","0.32"
"Annotations test","The @PodamCollection annotation should allow to set sizes on all collections and arrays","SUCCESS","2015-07-10T00:17:21.998+01:00","0.0","0.11"
