"Story","Title","Result","Date","Stability","Duration (s)"
"Class info test","In Presence of excluded attributes, the Class Info object should not contain those attributes","SUCCESS","2015-06-14T14:20:15.202+01:00","0.0","0.01"
"Abnormal pojos test","Invoking Podam on a POJO with a circular constructor (e.g. java.net.URL) leads to a null POJO","SUCCESS","2015-06-14T14:20:15.938+01:00","0.0","0.04"
"Abnormal pojos test","Invoking Podam on a POJO with a private, no arguments constructor, should return a non null POJO","SUCCESS","2015-06-14T14:20:15.911+01:00","0.0","0.03"
"Abnormal pojos test","Invoking Podam on a POJO with both circular and non circular constructors (e.g. javax.activation.DataHandler) should lead to a non empty POJO","SUCCESS","2015-06-14T14:20:16.144+01:00","0.0","0.04"
"Podam factory basic types test","Invoking Podam on an Abstract class should return a null pojo","SUCCESS","2015-06-14T14:20:14.643+01:00","0.0","0.02"
"Podam factory basic types test","Invoking Podam on an interface should return an empty POJO","SUCCESS","2015-06-14T14:20:14.588+01:00","0.0","0.02"
"Annotations test","Podam should assign exactly the values specified with the @PodamStrategyValue annotation","SUCCESS","2015-06-14T14:20:11.133+01:00","0.0","0.16"
"Annotations test","Podam should assign precise values and lengths when a String is annotated with @PodamStringValue","SUCCESS","2015-06-14T14:20:11.609+01:00","0.0","0.03"
"Extensions test","Podam should fill AttributeMetadata with the attribute name","SUCCESS","2015-06-14T14:20:16.457+01:00","0.0","0.04"
"Podam factory basic types test","Podam should fill Java native types","SUCCESS","2015-06-14T14:20:14.410+01:00","0.0","0.07"
"Podam factory basic types test","Podam should fill POJOs with non default constructors","SUCCESS","2015-06-14T14:20:14.731+01:00","0.0","0.02"
"Abnormal pojos test","Podam should fill POJOs with protected, non default constructors","SUCCESS","2015-06-14T14:20:16.040+01:00","0.0","0.02"
"Abnormal pojos test","Podam should fill POJOs with public, non default constructors","SUCCESS","2015-06-14T14:20:15.977+01:00","0.0","0.04"
"Podam factory basic types test","Podam should fill arrays with elements","SUCCESS","2015-06-14T14:20:14.687+01:00","0.0","0.02"
"Abnormal pojos test","Podam should fill embedded abstract classes if a concrete type has been specified","SUCCESS","2015-06-14T14:20:16.016+01:00","0.0","0.02"
"Podam factory basic types test","Podam should fill in Maps of the containing class type","SUCCESS","2015-06-14T14:20:14.510+01:00","0.0","0.08"
"Podam factory basic types test","Podam should fill in POJOs which have a circular dependency","SUCCESS","2015-06-14T14:20:14.848+01:00","0.0","0.03"
"Podam factory basic types test","Podam should fill in POJOs with Enums","SUCCESS","2015-06-14T14:20:14.483+01:00","0.0","0.03"
"Podam factory basic types test","Podam should fill in a POJO with basic jvm types","SUCCESS","2015-06-14T14:20:14.609+01:00","0.0","0.03"
"Podam factory basic types test","Podam should fill in lists of the containing class type","SUCCESS","2015-06-14T14:20:14.750+01:00","0.0","0.1"
"Podam factory basic types test","Podam should fill recursive POJOs correctly, including all their fields","SUCCESS","2015-06-14T14:20:14.711+01:00","0.0","0.02"
"Podam factory basic types test","Podam should fill recursive POJOs when invoking the factory population directly","SUCCESS","2015-06-14T14:20:14.666+01:00","0.0","0.02"
"Abnormal pojos test","Podam should fill values invoking children setters accepting a type different from the parent type","SUCCESS","2015-06-14T14:20:15.890+01:00","0.0","0.02"
"Class info test","Podam should generate a ClassInfo which contains information for the setters contained in the POJO","SUCCESS","2015-06-14T14:20:15.215+01:00","0.0","0.01"
"Abnormal pojos test","Podam should generate a non null POJO for Abstract types with a concrete type","SUCCESS","2015-06-14T14:20:16.062+01:00","0.0","0.02"
"Annotations test","Podam should handle POJOs with constructors that have one or more self references to the POJO class, provided the required constructor is annotated with @PodamConstructor","SUCCESS","2015-06-14T14:20:11.414+01:00","0.0","0.04"
"Collections test","Podam should handle POJOs with no setters and collections in the constructor","SUCCESS","2015-06-14T14:20:15.516+01:00","0.0","0.02"
"Abnormal pojos test","Podam should handle POJOs with private constructors only","SUCCESS","2015-06-14T14:20:16.120+01:00","0.0","0.02"
"Abnormal pojos test","Podam should handle POJOs with self reference constructors but not default constructors without the need for the @PodamConstructor annotation","SUCCESS","2015-06-14T14:20:16.081+01:00","0.0","0.03"
"Singletons test","Podam should handle Singletons with parameters in the static method","SUCCESS","2015-06-14T14:20:17.004+01:00","0.0","0.04"
"Inheritance test","Podam should handle basic inheritance scenarios","SUCCESS","2015-06-14T14:20:16.723+01:00","0.0","0.03"
"Boolean unit test","Podam should handle booleans correctly","SUCCESS","2015-06-14T14:20:13.715+01:00","0.0","0.03"
"Annotations test","Podam should handle both native and wrapped boolean values with @PodamBooleanValue annotation","SUCCESS","2015-06-14T14:20:10.836+01:00","0.0","0.05"
"Annotations test","Podam should handle both native and wrapped byte values with @PodamByteValue annotation","SUCCESS","2015-06-14T14:20:10.889+01:00","0.0","0.07"
