"Story","Title","Result","Date","Stability","Duration (s)"
"Podam factory basic types test","Invoking Podam on an Abstract class should return a null pojo","SUCCESS","2015-07-08T23:32:07.427+01:00","0.0","0.07"
"Podam factory basic types test","Invoking Podam on an interface should return an empty POJO","SUCCESS","2015-07-08T23:32:07.265+01:00","0.0","0.07"
"Podam factory basic types test","Podam should fill Java native types","SUCCESS","2015-07-08T23:32:06.871+01:00","0.0","0.11"
"Podam factory basic types test","Podam should fill POJOs with non default constructors","SUCCESS","2015-07-08T23:32:07.734+01:00","0.0","0.1"
"Podam factory basic types test","Podam should fill arrays with elements","SUCCESS","2015-07-08T23:32:07.591+01:00","0.0","0.07"
"Podam factory basic types test","Podam should fill in Maps of the containing class type","SUCCESS","2015-07-08T23:32:07.057+01:00","0.0","0.21"
"Podam factory basic types test","Podam should fill in POJOs which have a circular dependency","SUCCESS","2015-07-08T23:32:07.995+01:00","0.0","0.08"
"Podam factory basic types test","Podam should fill in POJOs with Enums","SUCCESS","2015-07-08T23:32:06.986+01:00","0.0","0.07"
"Podam factory basic types test","Podam should fill in a POJO with basic jvm types","SUCCESS","2015-07-08T23:32:07.336+01:00","0.0","0.08"
"Podam factory basic types test","Podam should fill in lists of the containing class type","SUCCESS","2015-07-08T23:32:07.835+01:00","0.0","0.16"
"Podam factory basic types test","Podam should fill recursive POJOs correctly, including all their fields","SUCCESS","2015-07-08T23:32:07.665+01:00","0.0","0.07"
"Podam factory basic types test","Podam should fill recursive POJOs when invoking the factory population directly","SUCCESS","2015-07-08T23:32:07.500+01:00","0.0","0.09"
"Podam factory basic types test","Podam should handle immutable non annotated POJOs","SUCCESS","2015-07-08T23:32:06.784+01:00","0.0","0.09"
