"Story","Title","Result","Date","Stability","Duration (s)"
"Constructors unit test","Podam should be able to create instances of JAXBElement","SUCCESS","2015-06-20T21:17:18.833+01:00","0.0","0.02"
"Constructors unit test","Podam should be able to create instances of JAXBElements declared as instance variables in a POJO","SUCCESS","2015-06-20T21:17:18.495+01:00","0.0","0.03"
"Constructors unit test","Podam should be able to create instances of abstract POJOs with factory methods which return concrete types","SUCCESS","2015-06-20T21:17:18.773+01:00","0.0","0.02"
"Constructors unit test","Podam should be able to create instances of generic POJOs with factory methods when the concrete type is known","SUCCESS","2015-06-20T21:17:18.617+01:00","0.0","0.02"
"Constructors unit test","Podam should be able to create instances of inner classes","SUCCESS","2015-06-20T21:17:18.550+01:00","0.0","0.02"
"Constructors unit test","Podam should be able to instantiate POJOs with immutable Collections","SUCCESS","2015-06-20T21:17:18.468+01:00","0.0","0.03"
"Constructors unit test","Podam should be able to instantiate POJOs with immutable Maps","SUCCESS","2015-06-20T21:17:18.729+01:00","0.0","0.02"
"Constructors unit test","Podam should be able to manufacture POJOs which contain immutable collections","SUCCESS","2015-06-20T21:17:18.572+01:00","0.0","0.02"
"Constructors unit test","Podam should be able to manufacture any type of Lists","SUCCESS","2015-06-20T21:17:18.527+01:00","0.0","0.02"
"Constructors unit test","Podam should be able to manufacture any type of Maps","SUCCESS","2015-06-20T21:17:18.687+01:00","0.0","0.02"
"Constructors unit test","Podam should be able to manufacture instances of the Observable class","SUCCESS","2015-06-20T21:17:18.449+01:00","0.0","0.02"
"Constructors unit test","Podam should choose the fullest constructor when invoked for full data","SUCCESS","2015-06-20T21:17:18.791+01:00","0.0","0.02"
"Constructors unit test","Podam should choose the lightest constructor when the standard manufacturing method is invoked","SUCCESS","2015-06-20T21:17:18.396+01:00","0.0","0.02"
"Constructors unit test","Podam should handle classes with generic Key/Value types","SUCCESS","2015-06-20T21:17:18.641+01:00","0.0","0.02"
"Constructors unit test","Podam should handle constructors with generic arrays during Pojo instantiation","SUCCESS","2015-06-20T21:17:18.709+01:00","0.0","0.02"
"Constructors unit test","Podam should handle constructors with multiple generics during Pojo instantiation","SUCCESS","2015-06-20T21:17:18.748+01:00","0.0","0.02"
"Constructors unit test","Podam should handle generics in setters during Pojo instantiation","SUCCESS","2015-06-20T21:17:18.665+01:00","0.0","0.02"
"Constructors unit test","Podam should handle generics in static constructors during POJO instantiation","SUCCESS","2015-06-20T21:17:18.813+01:00","0.0","0.02"
"Constructors unit test","Podam should handle generics in the constructor","SUCCESS","2015-06-20T21:17:18.597+01:00","0.0","0.02"
"Constructors unit test","Podam should manufacture package private POJOs","SUCCESS","2015-06-20T21:17:18.421+01:00","0.0","0.03"
