"Story","Title","Result","Date","Stability","Duration (s)"
"Annotations test","Podam should assign exactly the values specified with the @PodamStrategyValue annotation","SUCCESS","2016-09-03T17:53:00.891+01:00","0.0","0.04"
"Annotations test","Podam should assign precise values and lengths when a String is annotated with @PodamStringValue","SUCCESS","2016-09-03T17:53:00.998+01:00","0.0","0.01"
"Annotations test","Podam should handle POJOs with annotated field and setter","SUCCESS","2016-09-03T17:53:00.948+01:00","0.0","0.0"
"Annotations test","Podam should handle POJOs with constructors that have one or more self references to the POJO class, provided the required constructor is annotated with @PodamConstructor","SUCCESS","2016-09-03T17:53:00.963+01:00","0.0","0.01"
"Annotations test","Podam should handle both native and wrapped boolean values with @PodamBooleanValue annotation","SUCCESS","2016-09-03T17:53:00.851+01:00","0.0","0.01"
"Annotations test","Podam should handle both native and wrapped byte values with @PodamByteValue annotation","SUCCESS","2016-09-03T17:53:00.861+01:00","0.0","0.01"
"Annotations test","Podam should handle both native and wrapped char values with @PodamCharValue annotation","SUCCESS","2016-09-03T17:53:00.872+01:00","0.0","0.01"
"Annotations test","Podam should handle both native and wrapped double values with @PodamDoubleValue annotation","SUCCESS","2016-09-03T17:53:00.883+01:00","0.0","0.01"
"Annotations test","Podam should handle both native and wrapped float values with @PodamFloatValue annotation","SUCCESS","2016-09-03T17:53:00.954+01:00","0.0","0.01"
"Annotations test","Podam should handle both native and wrapped integer values with @PodamIntValue annotation","SUCCESS","2016-09-03T17:53:00.829+01:00","0.0","0.02"
"Annotations test","Podam should handle both native and wrapped long values with @PodamLongValue annotation","SUCCESS","2016-09-03T17:53:00.972+01:00","0.0","0.01"
"Annotations test","Podam should handle both native and wrapped short values with @PodamShortValue annotation","SUCCESS","2016-09-03T17:53:00.982+01:00","0.0","0.01"
"Annotations test","Podam should handle immutable POJOs annotated with @PodamConstructor","SUCCESS","2016-09-03T17:53:00.932+01:00","0.0","0.01"
"Annotations test","Podam should not fill POJO's attributes annotated with @PodamExclude","SUCCESS","2016-09-03T17:53:00.694+01:00","0.0","0.07"
"Annotations test","The @PodamCollection annotation should allow to set sizes on all collections and arrays","SUCCESS","2016-09-03T17:53:00.990+01:00","0.0","0.01"
