"Story","Title","Result","Date","Stability","Duration (s)"
"Podam factory basic types test","Invoking Podam on an Abstract class should return a null pojo","SUCCESS","2016-08-21T23:35:42.926+07:00","0.0","0.03"
"Podam factory basic types test","Invoking Podam on an interface should return an empty POJO","SUCCESS","2016-08-21T23:35:42.837+07:00","0.0","0.03"
"Podam factory basic types test","Podam should fill Java native types","SUCCESS","2016-08-21T23:35:42.654+07:00","0.0","0.06"
"Podam factory basic types test","Podam should fill POJOs with non default constructors","SUCCESS","2016-08-21T23:35:43.049+07:00","0.0","0.03"
"Podam factory basic types test","Podam should fill arrays with elements","SUCCESS","2016-08-21T23:35:42.983+07:00","0.0","0.04"
"Podam factory basic types test","Podam should fill in Maps of the containing class type","SUCCESS","2016-08-21T23:35:42.744+07:00","0.0","0.09"
"Podam factory basic types test","Podam should fill in POJOs which have a circular dependency","SUCCESS","2016-08-21T23:35:43.139+07:00","0.0","0.04"
"Podam factory basic types test","Podam should fill in POJOs with Enums","SUCCESS","2016-08-21T23:35:42.710+07:00","0.0","0.03"
"Podam factory basic types test","Podam should fill in a POJO with basic jvm types","SUCCESS","2016-08-21T23:35:42.869+07:00","0.0","0.06"
"Podam factory basic types test","Podam should fill in lists of the containing class type","SUCCESS","2016-08-21T23:35:43.079+07:00","0.0","0.06"
"Podam factory basic types test","Podam should fill recursive POJOs correctly, including all their fields","SUCCESS","2016-08-21T23:35:43.021+07:00","0.0","0.03"
"Podam factory basic types test","Podam should fill recursive POJOs when invoking the factory population directly","SUCCESS","2016-08-21T23:35:42.955+07:00","0.0","0.03"
"Podam factory basic types test","Podam should handle immutable non annotated POJOs","SUCCESS","2016-08-21T23:35:42.606+07:00","0.0","0.05"
