"Story","Title","Result","Date","Stability","Duration (s)"
"Type manufacturing test","Podam Messaging System should return a Byte wrapped value","SUCCESS","2016-10-09T18:32:49.470+03:00","0.0","0.01"
"Type manufacturing test","Podam Messaging System should return a Character wrapped value","SUCCESS","2016-10-09T18:32:49.573+03:00","0.0","0.01"
"Type manufacturing test","Podam Messaging System should return a Double wrapped value","SUCCESS","2016-10-09T18:32:49.626+03:00","0.0","0.01"
"Type manufacturing test","Podam Messaging System should return a Float wrapped value","SUCCESS","2016-10-09T18:32:49.262+03:00","0.0","0.03"
"Type manufacturing test","Podam Messaging System should return a Generic Type value","SUCCESS","2016-10-09T18:32:49.539+03:00","0.0","0.01"
"Type manufacturing test","Podam Messaging System should return a Long wrapped value","SUCCESS","2016-10-09T18:32:49.357+03:00","0.0","0.01"
"Type manufacturing test","Podam Messaging System should return a Short wrapped value","SUCCESS","2016-10-09T18:32:49.526+03:00","0.0","0.01"
"Type manufacturing test","Podam Messaging System should return a String value","SUCCESS","2016-10-09T18:32:49.485+03:00","0.0","0.0"
"Type manufacturing test","Podam Messaging System should return a boolean primitive value","SUCCESS","2016-10-09T18:32:49.617+03:00","0.0","0.01"
"Type manufacturing test","Podam Messaging System should return a boolean wrapped value","SUCCESS","2016-10-09T18:32:49.423+03:00","0.0","0.01"
"Type manufacturing test","Podam Messaging System should return a byte primitive value","SUCCESS","2016-10-09T18:32:49.406+03:00","0.0","0.01"
"Type manufacturing test","Podam Messaging System should return a char primitive value","SUCCESS","2016-10-09T18:32:49.448+03:00","0.0","0.01"
"Type manufacturing test","Podam Messaging System should return a double primitive value","SUCCESS","2016-10-09T18:32:49.595+03:00","0.0","0.01"
"Type manufacturing test","Podam Messaging System should return a float primitive value","SUCCESS","2016-10-09T18:32:49.554+03:00","0.0","0.02"
"Type manufacturing test","Podam Messaging System should return a long primitive value","SUCCESS","2016-10-09T18:32:49.376+03:00","0.0","0.01"
"Type manufacturing test","Podam Messaging System should return a short primitive value","SUCCESS","2016-10-09T18:32:49.296+03:00","0.0","0.03"
"Type manufacturing test","Podam Messaging System should return an Enum value","SUCCESS","2016-10-09T18:32:49.327+03:00","0.0","0.03"
"Type manufacturing test","Podam Messaging System should return an int primitive value","SUCCESS","2016-10-09T18:32:49.503+03:00","0.0","0.02"
"Type manufacturing test","Podam Messaging System should return an integer value","SUCCESS","2016-10-09T18:32:49.390+03:00","0.0","0.01"
