"Story","Title","Result","Date","Stability","Duration (s)"
"Abnormal pojos test","Invoking Podam on a POJO with a circular constructor (e.g. java.net.URL) leads to a null POJO","SUCCESS","2016-10-09T18:32:53.590+03:00","0.0","0.08"
"Abnormal pojos test","Invoking Podam on a POJO with a private, no arguments constructor, should return a non null POJO","SUCCESS","2016-10-09T18:32:53.558+03:00","0.0","0.02"
"Abnormal pojos test","Invoking Podam on a POJO with both circular and non circular constructors (e.g. javax.activation.DataHandler) should lead to a non empty POJO","SUCCESS","2016-10-09T18:32:53.775+03:00","0.0","0.07"
"Abnormal pojos test","Podam should fill POJOs with protected, non default constructors","SUCCESS","2016-10-09T18:32:53.738+03:00","0.0","0.01"
"Abnormal pojos test","Podam should fill POJOs with public, non default constructors","SUCCESS","2016-10-09T18:32:53.669+03:00","0.0","0.01"
"Abnormal pojos test","Podam should fill embedded abstract classes if a concrete type has been specified","SUCCESS","2016-10-09T18:32:53.700+03:00","0.0","0.03"
"Abnormal pojos test","Podam should fill values invoking children setters accepting a type different from the parent type","SUCCESS","2016-10-09T18:32:53.542+03:00","0.0","0.01"
"Abnormal pojos test","Podam should generate a non null POJO for Abstract types with a concrete type","SUCCESS","2016-10-09T18:32:53.750+03:00","0.0","0.0"
"Abnormal pojos test","Podam should handle POJOs with private constructors only","SUCCESS","2016-10-09T18:32:53.767+03:00","0.0","0.01"
"Abnormal pojos test","Podam should handle POJOs with self reference constructors but not default constructors without the need for the @PodamConstructor annotation","SUCCESS","2016-10-09T18:32:53.754+03:00","0.0","0.01"
"Abnormal pojos test","Podam should return a null value for non instantiable POJOs","SUCCESS","2016-10-09T18:32:53.745+03:00","0.0","0.0"
"Abnormal pojos test","Podam should throw an exception if a POJO contains invalid getters or setters","SUCCESS","2016-10-09T18:32:53.764+03:00","0.0","0.0"
