"Story","Title","Result","Date","Stability","Duration (s)"
"Annotations test","Podam should assign exactly the values specified with the @PodamStrategyValue annotation","SUCCESS","2016-08-21T23:44:56.626+07:00","0.0","0.08"
"Annotations test","Podam should assign precise values and lengths when a String is annotated with @PodamStringValue","SUCCESS","2016-08-21T23:44:57.027+07:00","0.0","0.05"
"Annotations test","Podam should handle POJOs with annotated field and setter","SUCCESS","2016-08-21T23:44:56.768+07:00","0.0","0.04"
"Annotations test","Podam should handle POJOs with constructors that have one or more self references to the POJO class, provided the required constructor is annotated with @PodamConstructor","SUCCESS","2016-08-21T23:44:56.849+07:00","0.0","0.04"
"Annotations test","Podam should handle both native and wrapped boolean values with @PodamBooleanValue annotation","SUCCESS","2016-08-21T23:44:56.386+07:00","0.0","0.06"
"Annotations test","Podam should handle both native and wrapped byte values with @PodamByteValue annotation","SUCCESS","2016-08-21T23:44:56.448+07:00","0.0","0.07"
"Annotations test","Podam should handle both native and wrapped char values with @PodamCharValue annotation","SUCCESS","2016-08-21T23:44:56.519+07:00","0.0","0.05"
"Annotations test","Podam should handle both native and wrapped double values with @PodamDoubleValue annotation","SUCCESS","2016-08-21T23:44:56.573+07:00","0.0","0.05"
"Annotations test","Podam should handle both native and wrapped float values with @PodamFloatValue annotation","SUCCESS","2016-08-21T23:44:56.806+07:00","0.0","0.04"
"Annotations test","Podam should handle both native and wrapped integer values with @PodamIntValue annotation","SUCCESS","2016-08-21T23:44:56.306+07:00","0.0","0.08"
"Annotations test","Podam should handle both native and wrapped long values with @PodamLongValue annotation","SUCCESS","2016-08-21T23:44:56.893+07:00","0.0","0.04"
"Annotations test","Podam should handle both native and wrapped short values with @PodamShortValue annotation","SUCCESS","2016-08-21T23:44:56.939+07:00","0.0","0.04"
"Annotations test","Podam should handle immutable POJOs annotated with @PodamConstructor","SUCCESS","2016-08-21T23:44:56.711+07:00","0.0","0.06"
"Annotations test","Podam should not fill POJO's attributes annotated with @PodamExclude","SUCCESS","2016-08-21T23:44:56.001+07:00","0.0","0.17"
"Annotations test","The @PodamCollection annotation should allow to set sizes on all collections and arrays","SUCCESS","2016-08-21T23:44:56.978+07:00","0.0","0.05"
