"Story","Title","Result","Date","Stability","Duration (s)"
"Constructors unit test","Podam should be able to create instances of JAXBElement","SUCCESS","2016-10-09T18:32:52.112+03:00","0.0","0.01"
"Constructors unit test","Podam should be able to create instances of JAXBElements declared as instance variables in a POJO","SUCCESS","2016-10-09T18:32:51.825+03:00","0.0","0.04"
"Constructors unit test","Podam should be able to create instances of abstract POJOs with factory methods which return concrete types","SUCCESS","2016-10-09T18:32:52.077+03:00","0.0","0.02"
"Constructors unit test","Podam should be able to create instances of generic POJOs with factory methods when the concrete type is known","SUCCESS","2016-10-09T18:32:51.938+03:00","0.0","0.01"
"Constructors unit test","Podam should be able to create instances of inner classes","SUCCESS","2016-10-09T18:32:51.869+03:00","0.0","0.01"
"Constructors unit test","Podam should be able to instantiate POJOs with immutable Collections","SUCCESS","2016-10-09T18:32:51.807+03:00","0.0","0.02"
"Constructors unit test","Podam should be able to instantiate POJOs with immutable Maps","SUCCESS","2016-10-09T18:32:52.037+03:00","0.0","0.01"
"Constructors unit test","Podam should be able to manufacture POJOs which contain immutable collections","SUCCESS","2016-10-09T18:32:51.877+03:00","0.0","0.01"
"Constructors unit test","Podam should be able to manufacture any type of Lists","SUCCESS","2016-10-09T18:32:51.862+03:00","0.0","0.01"
"Constructors unit test","Podam should be able to manufacture any type of Maps","SUCCESS","2016-10-09T18:32:52.023+03:00","0.0","0.01"
"Constructors unit test","Podam should be able to manufacture instances of the Observable class","SUCCESS","2016-10-09T18:32:51.801+03:00","0.0","0.0"
"Constructors unit test","Podam should choose the fullest constructor when invoked for full data","SUCCESS","2016-10-09T18:32:52.098+03:00","0.0","0.0"
"Constructors unit test","Podam should choose the lightest constructor when the standard manufacturing method is invoked","SUCCESS","2016-10-09T18:32:51.786+03:00","0.0","0.01"
"Constructors unit test","Podam should correctly handle generic collections in constructor with memoization disabled","SUCCESS","2016-10-09T18:32:51.980+03:00","0.0","0.02"
"Constructors unit test","Podam should correctly handle generic collections in constructor with memoization enabled","SUCCESS","2016-10-09T18:32:51.907+03:00","0.0","0.03"
"Constructors unit test","Podam should create instances of POJOs extending generic classes","SUCCESS","2016-10-09T18:32:51.950+03:00","0.0","0.01"
"Constructors unit test","Podam should handle classes with generic Key/Value types","SUCCESS","2016-10-09T18:32:51.959+03:00","0.0","0.02"
"Constructors unit test","Podam should handle constructors with generic arrays during Pojo instantiation","SUCCESS","2016-10-09T18:32:52.031+03:00","0.0","0.01"
"Constructors unit test","Podam should handle constructors with multiple generics during Pojo instantiation","SUCCESS","2016-10-09T18:32:52.045+03:00","0.0","0.02"
"Constructors unit test","Podam should handle generics in setters during Pojo instantiation","SUCCESS","2016-10-09T18:32:51.999+03:00","0.0","0.02"
"Constructors unit test","Podam should handle generics in static constructors during POJO instantiation","SUCCESS","2016-10-09T18:32:52.104+03:00","0.0","0.01"
"Constructors unit test","Podam should handle generics in the constructor","SUCCESS","2016-10-09T18:32:51.887+03:00","0.0","0.02"
"Constructors unit test","Podam should manufacture package private POJOs","SUCCESS","2016-10-09T18:32:51.795+03:00","0.0","0.01"
