"Story","Title","Result","Date","Stability","Duration (s)"
"Podam factory basic types test","Invoking Podam on an Abstract class should return a null pojo","SUCCESS","2023-07-29T17:16:26.813+03:00","0.0","0.13"
"Podam factory basic types test","Invoking Podam on an interface should return an empty POJO","SUCCESS","2023-07-29T17:16:26.447+03:00","0.0","0.11"
"Podam factory basic types test","Podam should fill CharSequence type","SUCCESS","2023-07-29T17:16:25.634+03:00","0.0","0.13"
"Podam factory basic types test","Podam should fill Java native types","SUCCESS","2023-07-29T17:16:26.055+03:00","0.0","0.12"
"Podam factory basic types test","Podam should fill Java string type","SUCCESS","2023-07-29T17:16:28.156+03:00","0.0","0.15"
"Podam factory basic types test","Podam should fill Java string type with full constructor","SUCCESS","2023-07-29T17:16:28.304+03:00","0.0","0.14"
"Podam factory basic types test","Podam should fill POJOs with non default constructors","SUCCESS","2023-07-29T17:16:27.652+03:00","0.0","0.14"
"Podam factory basic types test","Podam should fill array when invoking the factory population directly","SUCCESS","2023-07-29T17:16:27.493+03:00","0.0","0.16"
"Podam factory basic types test","Podam should fill arrays with elements","SUCCESS","2023-07-29T17:16:27.241+03:00","0.0","0.12"
"Podam factory basic types test","Podam should fill in Maps of the containing class type","SUCCESS","2023-07-29T17:16:26.289+03:00","0.0","0.15"
"Podam factory basic types test","Podam should fill in POJOs which have a circular dependency","SUCCESS","2023-07-29T17:16:28.011+03:00","0.0","0.15"
"Podam factory basic types test","Podam should fill in POJOs which have a circular dependency and custom depth","SUCCESS","2023-07-29T17:16:25.761+03:00","0.0","0.14"
"Podam factory basic types test","Podam should fill in POJOs with Enums","SUCCESS","2023-07-29T17:16:26.175+03:00","0.0","0.11"
"Podam factory basic types test","Podam should fill in a POJO with basic jvm types","SUCCESS","2023-07-29T17:16:26.559+03:00","0.0","0.13"
"Podam factory basic types test","Podam should fill in lists of the containing class type","SUCCESS","2023-07-29T17:16:27.793+03:00","0.0","0.22"
"Podam factory basic types test","Podam should fill in wildcard Enum fields","SUCCESS","2023-07-29T17:16:26.685+03:00","0.0","0.13"
"Podam factory basic types test","Podam should fill recursive POJOs correctly, including all their fields","SUCCESS","2023-07-29T17:16:27.365+03:00","0.0","0.13"
"Podam factory basic types test","Podam should fill recursive POJOs correctly, including all their list fields","SUCCESS","2023-07-29T17:16:26.945+03:00","0.0","0.16"
"Podam factory basic types test","Podam should fill recursive POJOs when invoking the factory population directly","SUCCESS","2023-07-29T17:16:27.109+03:00","0.0","0.13"
"Boolean unit test","Podam should handle booleans correctly","SUCCESS","2023-07-29T17:16:25.065+03:00","0.0","0.17"
"Podam factory basic types test","Podam should handle immutable non annotated POJOs","SUCCESS","2023-07-29T17:16:25.897+03:00","0.0","0.16"
"Class unit test","Podam should handle the manufacturing of POJOs with generic types in constructor","SUCCESS","2023-07-29T17:16:25.257+03:00","0.0","0.14"
"Class unit test","Podam should handle the manufacturing of basic types","SUCCESS","2023-07-29T17:16:25.395+03:00","0.0","0.11"
"Class unit test","Podam should handle the manufacturing of generic POJOs","SUCCESS","2023-07-29T17:16:25.509+03:00","0.0","0.11"
