"Story","Title","Result","Date","Stability","Duration (s)"
"Podam factory basic types test","Invoking Podam on an Abstract class should return a null pojo","SUCCESS","2015-05-31T17:22:04.659+01:00","0.0","0.02"
"Podam factory basic types test","Invoking Podam on an interface should return an empty POJO","SUCCESS","2015-05-31T17:22:04.593+01:00","0.0","0.02"
"Podam factory basic types test","Podam should fill POJOs with non default constructors","SUCCESS","2015-05-31T17:22:04.730+01:00","0.0","0.02"
"Podam factory basic types test","Podam should fill in Maps of the containing class type","SUCCESS","2015-05-31T17:22:04.487+01:00","0.0","0.1"
"Podam factory basic types test","Podam should fill in POJOs which have a circular dependency","SUCCESS","2015-05-31T17:22:04.828+01:00","0.0","0.02"
"Podam factory basic types test","Podam should fill in a POJO with basic jvm types","SUCCESS","2015-05-31T17:22:04.618+01:00","0.0","0.04"
"Podam factory basic types test","Podam should fill in lists of the containing class type","SUCCESS","2015-05-31T17:22:04.754+01:00","0.0","0.07"
"Podam factory basic types test","Podam should fill recursive POJOs correctly, including all their fields","SUCCESS","2015-05-31T17:22:04.705+01:00","0.0","0.02"
"Podam factory basic types test","Podam should fill recursive POJOs when invoking the factory population directly","SUCCESS","2015-05-31T17:22:04.682+01:00","0.0","0.02"
"Podam factory basic types test","Podam should handle immutable non annotated POJOs","SUCCESS","2015-05-31T17:22:04.441+01:00","0.0","0.04"
