"Story","Title","Result","Date","Stability","Duration (s)"
"Collections test","Podam should be able to create instances of Concurrent Hash Maps with interface values","SUCCESS","2023-07-29T17:16:30.145+03:00","0.0","0.12"
"Collections test","Podam should be able to create instances of Hash Maps with interface values","SUCCESS","2023-07-29T17:16:30.653+03:00","0.0","0.12"
"Collections test","Podam should be able to create instances of Sorted Maps with interface values","SUCCESS","2023-07-29T17:16:29.517+03:00","0.0","0.11"
"Collections test","Podam should be able to fill in POJOs with JsonNullable collection wrapper","SUCCESS","2023-07-29T17:16:30.385+03:00","0.0","0.14"
"Collections test","Podam should be able to fill in POJOs with raw type collection attributes and default values to Object","SUCCESS","2023-07-29T17:16:29.387+03:00","0.0","0.13"
"Collections test","Podam should fill in POJOs with attributes containing wildcards","SUCCESS","2023-07-29T17:16:30.777+03:00","0.0","0.12"
"Collections test","Podam should handle POJOs with no setters and collections in the constructor","SUCCESS","2023-07-29T17:16:29.816+03:00","0.0","0.2"
"Collections test","Podam should handle immutable POJOs with generified collections in the constructor","SUCCESS","2023-07-29T17:16:30.012+03:00","0.0","0.13"
"Collections test","Podam should handle immutable Pojos with non generic collections","SUCCESS","2023-07-29T17:16:30.521+03:00","0.0","0.13"
"Collections test","Podam should handle optional list of strings","SUCCESS","2023-07-29T17:16:30.265+03:00","0.0","0.12"
"Collections test","Podam should handle standard collections","SUCCESS","2023-07-29T17:16:29.635+03:00","0.0","0.18"
