"Story","Title","Result","Date","Stability","Duration (s)"
"Type manufacturing test","Podam Messaging System should return a Byte wrapped value","SUCCESS","2016-09-03T17:53:02.673+01:00","0.0","0.0"
"Type manufacturing test","Podam Messaging System should return a Character wrapped value","SUCCESS","2016-09-03T17:53:02.687+01:00","0.0","0.0"
"Type manufacturing test","Podam Messaging System should return a Double wrapped value","SUCCESS","2016-09-03T17:53:02.695+01:00","0.0","0.0"
"Type manufacturing test","Podam Messaging System should return a Float wrapped value","SUCCESS","2016-09-03T17:53:02.652+01:00","0.0","0.0"
"Type manufacturing test","Podam Messaging System should return a Generic Type value","SUCCESS","2016-09-03T17:53:02.681+01:00","0.0","0.0"
"Type manufacturing test","Podam Messaging System should return a Long wrapped value","SUCCESS","2016-09-03T17:53:02.661+01:00","0.0","0.0"
"Type manufacturing test","Podam Messaging System should return a Short wrapped value","SUCCESS","2016-09-03T17:53:02.679+01:00","0.0","0.0"
"Type manufacturing test","Podam Messaging System should return a String value","SUCCESS","2016-09-03T17:53:02.675+01:00","0.0","0.0"
"Type manufacturing test","Podam Messaging System should return a boolean primitive value","SUCCESS","2016-09-03T17:53:02.693+01:00","0.0","0.0"
"Type manufacturing test","Podam Messaging System should return a boolean wrapped value","SUCCESS","2016-09-03T17:53:02.669+01:00","0.0","0.0"
"Type manufacturing test","Podam Messaging System should return a byte primitive value","SUCCESS","2016-09-03T17:53:02.667+01:00","0.0","0.0"
"Type manufacturing test","Podam Messaging System should return a char primitive value","SUCCESS","2016-09-03T17:53:02.671+01:00","0.0","0.0"
"Type manufacturing test","Podam Messaging System should return a double primitive value","SUCCESS","2016-09-03T17:53:02.690+01:00","0.0","0.0"
"Type manufacturing test","Podam Messaging System should return a float primitive value","SUCCESS","2016-09-03T17:53:02.684+01:00","0.0","0.0"
"Type manufacturing test","Podam Messaging System should return a long primitive value","SUCCESS","2016-09-03T17:53:02.662+01:00","0.0","0.0"
"Type manufacturing test","Podam Messaging System should return a short primitive value","SUCCESS","2016-09-03T17:53:02.655+01:00","0.0","0.0"
"Type manufacturing test","Podam Messaging System should return an Enum value","SUCCESS","2016-09-03T17:53:02.658+01:00","0.0","0.0"
"Type manufacturing test","Podam Messaging System should return an int primitive value","SUCCESS","2016-09-03T17:53:02.677+01:00","0.0","0.0"
"Type manufacturing test","Podam Messaging System should return an integer value","SUCCESS","2016-09-03T17:53:02.664+01:00","0.0","0.0"
