"Story","Title","Result","Date","Stability","Duration (s)"
"Type manufacturing test","Podam Messaging System should return a Byte wrapped value","SUCCESS","2015-07-10T00:17:36.751+01:00","0.0","0.07"
"Type manufacturing test","Podam Messaging System should return a Character wrapped value","SUCCESS","2015-07-10T00:17:37.157+01:00","0.0","0.07"
"Type manufacturing test","Podam Messaging System should return a Double wrapped value","SUCCESS","2015-07-10T00:17:37.372+01:00","0.0","0.06"
"Type manufacturing test","Podam Messaging System should return a Float wrapped value","SUCCESS","2015-07-10T00:17:36.124+01:00","0.0","0.07"
"Type manufacturing test","Podam Messaging System should return a Generic Type value","SUCCESS","2015-07-10T00:17:37.022+01:00","0.0","0.07"
"Type manufacturing test","Podam Messaging System should return a Long wrapped value","SUCCESS","2015-07-10T00:17:36.323+01:00","0.0","0.07"
"Type manufacturing test","Podam Messaging System should return a Short wrapped value","SUCCESS","2015-07-10T00:17:36.956+01:00","0.0","0.07"
"Type manufacturing test","Podam Messaging System should return a String value","SUCCESS","2015-07-10T00:17:36.818+01:00","0.0","0.07"
"Type manufacturing test","Podam Messaging System should return a boolean primitive value","SUCCESS","2015-07-10T00:17:37.302+01:00","0.0","0.07"
"Type manufacturing test","Podam Messaging System should return a boolean wrapped value","SUCCESS","2015-07-10T00:17:36.577+01:00","0.0","0.1"
"Type manufacturing test","Podam Messaging System should return a byte primitive value","SUCCESS","2015-07-10T00:17:36.519+01:00","0.0","0.06"
"Type manufacturing test","Podam Messaging System should return a char primitive value","SUCCESS","2015-07-10T00:17:36.680+01:00","0.0","0.07"
"Type manufacturing test","Podam Messaging System should return a double primitive value","SUCCESS","2015-07-10T00:17:37.226+01:00","0.0","0.07"
"Type manufacturing test","Podam Messaging System should return a float primitive value","SUCCESS","2015-07-10T00:17:37.089+01:00","0.0","0.07"
"Type manufacturing test","Podam Messaging System should return a long primitive value","SUCCESS","2015-07-10T00:17:36.389+01:00","0.0","0.06"
"Type manufacturing test","Podam Messaging System should return a short primitive value","SUCCESS","2015-07-10T00:17:36.196+01:00","0.0","0.07"
"Type manufacturing test","Podam Messaging System should return an Enum value","SUCCESS","2015-07-10T00:17:36.264+01:00","0.0","0.06"
"Type manufacturing test","Podam Messaging System should return an int primitive value","SUCCESS","2015-07-10T00:17:36.886+01:00","0.0","0.07"
"Type manufacturing test","Podam Messaging System should return an integer value","SUCCESS","2015-07-10T00:17:36.448+01:00","0.0","0.07"
