"Story","Title","Result","Date","Stability","Duration (s)"
"Annotations test","Podam should handle POJOs with constructors that have one or more self references to the POJO class, provided the required constructor is annotated with @PodamConstructor","SUCCESS","2015-05-31T18:57:26.462+01:00","0.0","0.07"
"Annotations test","Podam should handle both native and wrapped boolean values with @PodamBooleanValue annotation","SUCCESS","2015-05-31T18:57:26.103+01:00","0.0","0.05"
"Annotations test","Podam should handle both native and wrapped byte values with @PodamByteValue annotation","SUCCESS","2015-05-31T18:57:26.154+01:00","0.0","0.07"
"Annotations test","Podam should handle both native and wrapped char values with @PodamCharValue annotation","SUCCESS","2015-05-31T18:57:26.225+01:00","0.0","0.07"
"Annotations test","Podam should handle both native and wrapped float values with @PodamFloatValue annotation","SUCCESS","2015-05-31T18:57:26.379+01:00","0.0","0.08"
"Annotations test","Podam should handle both native and wrapped integer values with @PodamIntValue annotation","SUCCESS","2015-05-31T18:57:26.013+01:00","0.0","0.09"
"Annotations test","Podam should handle both native and wrapped long values with @PodamLongValue annotation","SUCCESS","2015-05-31T18:57:26.529+01:00","0.0","0.1"
"Annotations test","Podam should handle both native and wrapped short values with @PodamShortValue annotation","SUCCESS","2015-05-31T18:57:26.628+01:00","0.0","0.07"
"Annotations test","Podam should handle immutable POJOs annotated with @PodamConstructor","SUCCESS","2015-05-31T18:57:26.298+01:00","0.0","0.08"
"Annotations test","Podam should not fill POJO's attributes annotated with @PodamExclude","SUCCESS","2015-05-31T18:57:25.675+01:00","0.0","0.2"
