"Story","Title","Result","Date","Stability","Duration (s)"
"Podam factory basic types test","Invoking Podam on an Abstract class should return a null pojo","SUCCESS","2015-09-27T14:32:19.784+01:00","0.0","0.07"
"Podam factory basic types test","Invoking Podam on an interface should return an empty POJO","SUCCESS","2015-09-27T14:32:19.611+01:00","0.0","0.07"
"Podam factory basic types test","Podam should fill Java native types","SUCCESS","2015-09-27T14:32:19.215+01:00","0.0","0.13"
"Podam factory basic types test","Podam should fill POJOs with non default constructors","SUCCESS","2015-09-27T14:32:20.184+01:00","0.0","0.08"
"Podam factory basic types test","Podam should fill arrays with elements","SUCCESS","2015-09-27T14:32:19.935+01:00","0.0","0.11"
"Podam factory basic types test","Podam should fill in Maps of the containing class type","SUCCESS","2015-09-27T14:32:19.423+01:00","0.0","0.19"
"Podam factory basic types test","Podam should fill in POJOs which have a circular dependency","SUCCESS","2015-09-27T14:32:20.451+01:00","0.0","0.07"
"Podam factory basic types test","Podam should fill in POJOs with Enums","SUCCESS","2015-09-27T14:32:19.343+01:00","0.0","0.08"
"Podam factory basic types test","Podam should fill in a POJO with basic jvm types","SUCCESS","2015-09-27T14:32:19.683+01:00","0.0","0.1"
"Podam factory basic types test","Podam should fill in lists of the containing class type","SUCCESS","2015-09-27T14:32:20.270+01:00","0.0","0.18"
"Podam factory basic types test","Podam should fill recursive POJOs correctly, including all their fields","SUCCESS","2015-09-27T14:32:20.052+01:00","0.0","0.13"
"Podam factory basic types test","Podam should fill recursive POJOs when invoking the factory population directly","SUCCESS","2015-09-27T14:32:19.863+01:00","0.0","0.07"
"Podam factory basic types test","Podam should handle immutable non annotated POJOs","SUCCESS","2015-09-27T14:32:19.116+01:00","0.0","0.1"
