"Story","Title","Result","Date","Stability","Duration (s)"
"Type manufacturing test","Podam Messaging System should return a Byte wrapped value","SUCCESS","2023-07-29T17:16:41.959+03:00","0.0","0.1"
"Type manufacturing test","Podam Messaging System should return a Character wrapped value","SUCCESS","2023-07-29T17:16:42.491+03:00","0.0","0.11"
"Type manufacturing test","Podam Messaging System should return a Double wrapped value","SUCCESS","2023-07-29T17:16:42.819+03:00","0.0","0.11"
"Type manufacturing test","Podam Messaging System should return a Float wrapped value","SUCCESS","2023-07-29T17:16:40.831+03:00","0.0","0.12"
"Type manufacturing test","Podam Messaging System should return a Long wrapped value","SUCCESS","2023-07-29T17:16:41.189+03:00","0.0","0.12"
"Type manufacturing test","Podam Messaging System should return a Short wrapped value","SUCCESS","2023-07-29T17:16:42.269+03:00","0.0","0.11"
"Type manufacturing test","Podam Messaging System should return a String value","SUCCESS","2023-07-29T17:16:42.062+03:00","0.0","0.11"
"Type manufacturing test","Podam Messaging System should return a boolean primitive value","SUCCESS","2023-07-29T17:16:42.714+03:00","0.0","0.11"
"Type manufacturing test","Podam Messaging System should return a boolean wrapped value","SUCCESS","2023-07-29T17:16:41.643+03:00","0.0","0.1"
"Type manufacturing test","Podam Messaging System should return a byte primitive value","SUCCESS","2023-07-29T17:16:41.533+03:00","0.0","0.11"
"Type manufacturing test","Podam Messaging System should return a char primitive value","SUCCESS","2023-07-29T17:16:41.747+03:00","0.0","0.21"
"Type manufacturing test","Podam Messaging System should return a double primitive value","SUCCESS","2023-07-29T17:16:42.603+03:00","0.0","0.11"
"Type manufacturing test","Podam Messaging System should return a float primitive value","SUCCESS","2023-07-29T17:16:42.379+03:00","0.0","0.11"
"Type manufacturing test","Podam Messaging System should return a long primitive value","SUCCESS","2023-07-29T17:16:41.310+03:00","0.0","0.11"
"Type manufacturing test","Podam Messaging System should return a short primitive value","SUCCESS","2023-07-29T17:16:40.954+03:00","0.0","0.12"
"Type manufacturing test","Podam Messaging System should return an Enum value","SUCCESS","2023-07-29T17:16:41.069+03:00","0.0","0.12"
"Type manufacturing test","Podam Messaging System should return an int primitive value","SUCCESS","2023-07-29T17:16:42.169+03:00","0.0","0.1"
"Type manufacturing test","Podam Messaging System should return an integer value","SUCCESS","2023-07-29T17:16:41.421+03:00","0.0","0.11"
