"Story","Title","Result","Date","Stability","Duration (s)"
"Abnormal pojos test","Invoking Podam on a POJO with a circular constructor (e.g. java.net.URL) leads to a null POJO","SUCCESS","2015-07-08T23:32:12.758+01:00","0.0","0.07"
"Abnormal pojos test","Invoking Podam on a POJO with a private, no arguments constructor, should return a non null POJO","SUCCESS","2015-07-08T23:32:12.706+01:00","0.0","0.05"
"Abnormal pojos test","Invoking Podam on a POJO with both circular and non circular constructors (e.g. javax.activation.DataHandler) should lead to a non empty POJO","SUCCESS","2015-07-08T23:32:13.242+01:00","0.0","0.07"
"Abnormal pojos test","Podam should fill POJOs with protected, non default constructors","SUCCESS","2015-07-08T23:32:12.945+01:00","0.0","0.05"
"Abnormal pojos test","Podam should fill POJOs with public, non default constructors","SUCCESS","2015-07-08T23:32:12.832+01:00","0.0","0.06"
"Abnormal pojos test","Podam should fill embedded abstract classes if a concrete type has been specified","SUCCESS","2015-07-08T23:32:12.889+01:00","0.0","0.05"
"Abnormal pojos test","Podam should fill values invoking children setters accepting a type different from the parent type","SUCCESS","2015-07-08T23:32:12.656+01:00","0.0","0.05"
"Abnormal pojos test","Podam should generate a non null POJO for Abstract types with a concrete type","SUCCESS","2015-07-08T23:32:13.046+01:00","0.0","0.05"
"Abnormal pojos test","Podam should handle POJOs with private constructors only","SUCCESS","2015-07-08T23:32:13.191+01:00","0.0","0.05"
"Abnormal pojos test","Podam should handle POJOs with self reference constructors but not default constructors without the need for the @PodamConstructor annotation","SUCCESS","2015-07-08T23:32:13.095+01:00","0.0","0.05"
"Abnormal pojos test","Podam should return a null value for non instantiable POJOs","SUCCESS","2015-07-08T23:32:13.000+01:00","0.0","0.05"
"Abnormal pojos test","Podam should throw an exception if a POJO contains invalid getters or setters","SUCCESS","2015-07-08T23:32:13.144+01:00","0.0","0.05"
