"Story","Title","Result","Date","Stability","Duration (s)"
"Type manufacturing test","Podam Messaging System should return a Byte wrapped value","SUCCESS","2015-07-08T23:32:17.356+01:00","0.0","0.06"
"Type manufacturing test","Podam Messaging System should return a Character wrapped value","SUCCESS","2015-07-08T23:32:17.730+01:00","0.0","0.05"
"Type manufacturing test","Podam Messaging System should return a Double wrapped value","SUCCESS","2015-07-08T23:32:17.907+01:00","0.0","0.06"
"Type manufacturing test","Podam Messaging System should return a Float wrapped value","SUCCESS","2015-07-08T23:32:16.771+01:00","0.0","0.06"
"Type manufacturing test","Podam Messaging System should return a Generic Type value","SUCCESS","2015-07-08T23:32:17.610+01:00","0.0","0.06"
"Type manufacturing test","Podam Messaging System should return a Long wrapped value","SUCCESS","2015-07-08T23:32:16.975+01:00","0.0","0.06"
"Type manufacturing test","Podam Messaging System should return a Short wrapped value","SUCCESS","2015-07-08T23:32:17.549+01:00","0.0","0.06"
"Type manufacturing test","Podam Messaging System should return a String value","SUCCESS","2015-07-08T23:32:17.415+01:00","0.0","0.07"
"Type manufacturing test","Podam Messaging System should return a boolean primitive value","SUCCESS","2015-07-08T23:32:17.847+01:00","0.0","0.06"
"Type manufacturing test","Podam Messaging System should return a boolean wrapped value","SUCCESS","2015-07-08T23:32:17.233+01:00","0.0","0.06"
"Type manufacturing test","Podam Messaging System should return a byte primitive value","SUCCESS","2015-07-08T23:32:17.177+01:00","0.0","0.06"
"Type manufacturing test","Podam Messaging System should return a char primitive value","SUCCESS","2015-07-08T23:32:17.292+01:00","0.0","0.06"
"Type manufacturing test","Podam Messaging System should return a double primitive value","SUCCESS","2015-07-08T23:32:17.785+01:00","0.0","0.06"
"Type manufacturing test","Podam Messaging System should return a float primitive value","SUCCESS","2015-07-08T23:32:17.669+01:00","0.0","0.06"
"Type manufacturing test","Podam Messaging System should return a long primitive value","SUCCESS","2015-07-08T23:32:17.040+01:00","0.0","0.07"
"Type manufacturing test","Podam Messaging System should return a short primitive value","SUCCESS","2015-07-08T23:32:16.838+01:00","0.0","0.07"
"Type manufacturing test","Podam Messaging System should return an Enum value","SUCCESS","2015-07-08T23:32:16.906+01:00","0.0","0.07"
"Type manufacturing test","Podam Messaging System should return an int primitive value","SUCCESS","2015-07-08T23:32:17.487+01:00","0.0","0.06"
"Type manufacturing test","Podam Messaging System should return an integer value","SUCCESS","2015-07-08T23:32:17.109+01:00","0.0","0.07"
