"Story","Title","Result","Date","Stability","Duration (s)"
"Podam factory basic types test","Invoking Podam on an Abstract class should return a null pojo","SUCCESS","2015-06-01T23:05:22.725+01:00","0.0","0.03"
"Podam factory basic types test","Invoking Podam on an interface should return an empty POJO","SUCCESS","2015-06-01T23:05:22.666+01:00","0.0","0.02"
"Podam factory basic types test","Podam should fill POJOs with non default constructors","SUCCESS","2015-06-01T23:05:22.798+01:00","0.0","0.02"
"Podam factory basic types test","Podam should fill in Maps of the containing class type","SUCCESS","2015-06-01T23:05:22.570+01:00","0.0","0.1"
"Podam factory basic types test","Podam should fill in POJOs which have a circular dependency","SUCCESS","2015-06-01T23:05:22.898+01:00","0.0","0.02"
"Podam factory basic types test","Podam should fill in POJOs with Enums","SUCCESS","2015-06-01T23:05:22.543+01:00","0.0","0.03"
"Podam factory basic types test","Podam should fill in a POJO with basic jvm types","SUCCESS","2015-06-01T23:05:22.687+01:00","0.0","0.04"
"Podam factory basic types test","Podam should fill in lists of the containing class type","SUCCESS","2015-06-01T23:05:22.817+01:00","0.0","0.08"
"Podam factory basic types test","Podam should fill recursive POJOs correctly, including all their fields","SUCCESS","2015-06-01T23:05:22.777+01:00","0.0","0.02"
"Podam factory basic types test","Podam should fill recursive POJOs when invoking the factory population directly","SUCCESS","2015-06-01T23:05:22.757+01:00","0.0","0.02"
"Podam factory basic types test","Podam should handle immutable non annotated POJOs","SUCCESS","2015-06-01T23:05:22.494+01:00","0.0","0.04"
