"Story","Title","Result","Date","Stability","Duration (s)"
"Constructors unit test","Podam should be able to instantiate POJOs with immutable Collections","SUCCESS","2015-06-14T20:05:35.220+01:00","0.0","0.02"
"Constructors unit test","Podam should be able to instantiate POJOs with immutable Maps","SUCCESS","2015-06-14T20:05:35.397+01:00","0.0","0.02"
"Constructors unit test","Podam should be able to manufacture POJOs which contain immutable collections","SUCCESS","2015-06-14T20:05:35.265+01:00","0.0","0.03"
"Constructors unit test","Podam should be able to manufacture any type of Lists","SUCCESS","2015-06-14T20:05:35.244+01:00","0.0","0.02"
"Constructors unit test","Podam should be able to manufacture any type of Maps","SUCCESS","2015-06-14T20:05:35.362+01:00","0.0","0.02"
"Constructors unit test","Podam should be able to manufacture instances of the Observable class","SUCCESS","2015-06-14T20:05:35.201+01:00","0.0","0.02"
"Constructors unit test","Podam should handle classes with generic Key/Value types","SUCCESS","2015-06-14T20:05:35.326+01:00","0.0","0.02"
"Constructors unit test","Podam should handle constructors with generic arrays during Pojo instantiation","SUCCESS","2015-06-14T20:05:35.380+01:00","0.0","0.02"
"Constructors unit test","Podam should handle constructors with multiple generics during Pojo instantiation","SUCCESS","2015-06-14T20:05:35.415+01:00","0.0","0.02"
"Constructors unit test","Podam should handle generics in setters during Pojo instantiation","SUCCESS","2015-06-14T20:05:35.345+01:00","0.0","0.02"
"Constructors unit test","Podam should handle generics in static constructors during POJO instantiation","SUCCESS","2015-06-14T20:05:35.438+01:00","0.0","0.02"
"Constructors unit test","Podam should handle generics in the constructor","SUCCESS","2015-06-14T20:05:35.295+01:00","0.0","0.03"
