"Story","Title","Result","Date","Stability","Duration (s)"
"Abnormal pojos test","Invoking Podam on a POJO with a circular constructor (e.g. java.net.URL) leads to a null POJO","SUCCESS","2023-07-29T17:16:35.829+03:00","0.0","0.13"
"Abnormal pojos test","Invoking Podam on a POJO with a private, no arguments constructor, should return a non null POJO","SUCCESS","2023-07-29T17:16:35.719+03:00","0.0","0.11"
"Abnormal pojos test","Invoking Podam on a POJO with both circular and non circular constructors (e.g. javax.activation.DataHandler) should lead to a non empty POJO","SUCCESS","2023-07-29T17:16:36.887+03:00","0.0","0.12"
"Abnormal pojos test","Podam should fill POJOs with protected, non default constructors","SUCCESS","2023-07-29T17:16:36.199+03:00","0.0","0.11"
"Abnormal pojos test","Podam should fill POJOs with public, non default constructors","SUCCESS","2023-07-29T17:16:35.959+03:00","0.0","0.12"
"Abnormal pojos test","Podam should fill embedded abstract classes if a concrete type has been specified","SUCCESS","2023-07-29T17:16:36.079+03:00","0.0","0.12"
"Abnormal pojos test","Podam should fill values invoking children setters accepting a type different from the parent type","SUCCESS","2023-07-29T17:16:35.599+03:00","0.0","0.12"
"Abnormal pojos test","Podam should generate a non null POJO for Abstract types with a concrete type","SUCCESS","2023-07-29T17:16:36.422+03:00","0.0","0.13"
"Abnormal pojos test","Podam should handle POJOs with private constructors only","SUCCESS","2023-07-29T17:16:36.774+03:00","0.0","0.11"
"Abnormal pojos test","Podam should handle POJOs with self reference constructors but not default constructors without the need for the @PodamConstructor annotation","SUCCESS","2023-07-29T17:16:36.549+03:00","0.0","0.11"
"Abnormal pojos test","Podam should return a null value for non instantiable POJOs","SUCCESS","2023-07-29T17:16:36.310+03:00","0.0","0.11"
"Abnormal pojos test","Podam should throw an exception if a POJO contains invalid getters or setters","SUCCESS","2023-07-29T17:16:36.663+03:00","0.0","0.11"
