"Story","Title","Result","Date","Stability","Duration (s)"
"Random data provider strategy impl initialisation unit test","Creating a Random Data Provider Strategy should create a Method heavy comparator","SUCCESS","2015-07-10T00:17:30.623+01:00","0.0","0.01"
"Random data provider strategy impl initialisation unit test","Creating a Random Data Provider Strategy should create a Method light comparator","SUCCESS","2015-07-10T00:17:30.643+01:00","0.0","0.01"
"Random data provider strategy impl initialisation unit test","Creating a Random Data Provider Strategy should create a constructor heavy comparator","SUCCESS","2015-07-10T00:17:30.612+01:00","0.0","0.01"
"Random data provider strategy impl initialisation unit test","Creating a Random Data Provider Strategy should create a constructor light comparator","SUCCESS","2015-07-10T00:17:30.633+01:00","0.0","0.01"
"Memoization test","Even when memoization is true, if generics Pojos have different types, objects should not be equal","SUCCESS","2015-07-10T00:17:35.393+01:00","0.0","0.05"
"Class info test","In Presence of excluded attributes, the Class Info object should not contain those attributes","SUCCESS","2015-07-10T00:17:26.704+01:00","0.0","0.01"
"Abnormal pojos test","Invoking Podam on a POJO with a circular constructor (e.g. java.net.URL) leads to a null POJO","SUCCESS","2015-07-10T00:17:31.207+01:00","0.0","0.07"
"Abnormal pojos test","Invoking Podam on a POJO with a private, no arguments constructor, should return a non null POJO","SUCCESS","2015-07-10T00:17:31.158+01:00","0.0","0.05"
"Abnormal pojos test","Invoking Podam on a POJO with both circular and non circular constructors (e.g. javax.activation.DataHandler) should lead to a non empty POJO","SUCCESS","2015-07-10T00:17:31.761+01:00","0.0","0.09"
"Podam factory basic types test","Invoking Podam on an Abstract class should return a null pojo","SUCCESS","2015-07-10T00:17:25.675+01:00","0.0","0.09"
"Podam factory basic types test","Invoking Podam on an interface should return an empty POJO","SUCCESS","2015-07-10T00:17:25.507+01:00","0.0","0.07"
"Memoization test","Memoization should work correctly for collections and arrays","SUCCESS","2015-07-10T00:17:35.192+01:00","0.0","0.09"
"Memoization test","Memoization should work for recursive Pojos","SUCCESS","2015-07-10T00:17:35.286+01:00","0.0","0.05"
"Memoization test","Memoization should work with Generics","SUCCESS","2015-07-10T00:17:35.335+01:00","0.0","0.06"
"Type manufacturing test","Podam Messaging System should return a Byte wrapped value","SUCCESS","2015-07-10T00:17:36.751+01:00","0.0","0.07"
"Type manufacturing test","Podam Messaging System should return a Character wrapped value","SUCCESS","2015-07-10T00:17:37.157+01:00","0.0","0.07"
"Type manufacturing test","Podam Messaging System should return a Double wrapped value","SUCCESS","2015-07-10T00:17:37.372+01:00","0.0","0.06"
"Type manufacturing test","Podam Messaging System should return a Float wrapped value","SUCCESS","2015-07-10T00:17:36.124+01:00","0.0","0.07"
"Type manufacturing test","Podam Messaging System should return a Generic Type value","SUCCESS","2015-07-10T00:17:37.022+01:00","0.0","0.07"
"Type manufacturing test","Podam Messaging System should return a Long wrapped value","SUCCESS","2015-07-10T00:17:36.323+01:00","0.0","0.07"
"Type manufacturing test","Podam Messaging System should return a Short wrapped value","SUCCESS","2015-07-10T00:17:36.956+01:00","0.0","0.07"
"Type manufacturing test","Podam Messaging System should return a String value","SUCCESS","2015-07-10T00:17:36.818+01:00","0.0","0.07"
"Type manufacturing test","Podam Messaging System should return a boolean primitive value","SUCCESS","2015-07-10T00:17:37.302+01:00","0.0","0.07"
"Type manufacturing test","Podam Messaging System should return a boolean wrapped value","SUCCESS","2015-07-10T00:17:36.577+01:00","0.0","0.1"
"Type manufacturing test","Podam Messaging System should return a byte primitive value","SUCCESS","2015-07-10T00:17:36.519+01:00","0.0","0.06"
"Type manufacturing test","Podam Messaging System should return a char primitive value","SUCCESS","2015-07-10T00:17:36.680+01:00","0.0","0.07"
"Type manufacturing test","Podam Messaging System should return a double primitive value","SUCCESS","2015-07-10T00:17:37.226+01:00","0.0","0.07"
"Type manufacturing test","Podam Messaging System should return a float primitive value","SUCCESS","2015-07-10T00:17:37.089+01:00","0.0","0.07"
"Type manufacturing test","Podam Messaging System should return a long primitive value","SUCCESS","2015-07-10T00:17:36.389+01:00","0.0","0.06"
"Type manufacturing test","Podam Messaging System should return a short primitive value","SUCCESS","2015-07-10T00:17:36.196+01:00","0.0","0.07"
"Type manufacturing test","Podam Messaging System should return an Enum value","SUCCESS","2015-07-10T00:17:36.264+01:00","0.0","0.06"
"Type manufacturing test","Podam Messaging System should return an int primitive value","SUCCESS","2015-07-10T00:17:36.886+01:00","0.0","0.07"
"Type manufacturing test","Podam Messaging System should return an integer value","SUCCESS","2015-07-10T00:17:36.448+01:00","0.0","0.07"
"External factory unit test","Podam cannot fill interface attributes if the external factory does not manufacture the right type","SUCCESS","2015-07-10T00:17:33.525+01:00","0.0","0.13"
"Multiple interfaces inheritance test","Podam cannot instantiate interfaces","SUCCESS","2015-07-10T00:17:34.771+01:00","0.0","0.06"
"Multiple interfaces inheritance test","Podam cannot instantiate interfaces which extend Map","SUCCESS","2015-07-10T00:17:34.631+01:00","0.0","0.06"
"Annotations test","Podam should assign exactly the values specified with the @PodamStrategyValue annotation","SUCCESS","2015-07-10T00:17:21.175+01:00","0.0","0.22"
"Annotations test","Podam should assign precise values and lengths when a String is annotated with @PodamStringValue","SUCCESS","2015-07-10T00:17:22.107+01:00","0.0","0.09"
"Collections test","Podam should be able to create instances of Concurrent Hash Maps","SUCCESS","2015-07-10T00:17:27.666+01:00","0.0","0.07"
"Collections test","Podam should be able to create instances of Hash Maps","SUCCESS","2015-07-10T00:17:27.819+01:00","0.0","0.06"
"Constructors unit test","Podam should be able to create instances of JAXBElement","SUCCESS","2015-07-10T00:17:29.626+01:00","0.0","0.06"
"Constructors unit test","Podam should be able to create instances of JAXBElements declared as instance variables in a POJO","SUCCESS","2015-07-10T00:17:28.483+01:00","0.0","0.08"
"Collections test","Podam should be able to create instances of Sorted Maps","SUCCESS","2015-07-10T00:17:27.051+01:00","0.0","0.07"
"Constructors unit test","Podam should be able to create instances of abstract POJOs with factory methods which return concrete types","SUCCESS","2015-07-10T00:17:29.437+01:00","0.0","0.06"
"Constructors unit test","Podam should be able to create instances of generic POJOs with factory methods when the concrete type is known","SUCCESS","2015-07-10T00:17:28.891+01:00","0.0","0.06"
"Constructors unit test","Podam should be able to create instances of inner classes","SUCCESS","2015-07-10T00:17:28.652+01:00","0.0","0.12"
"Collections test","Podam should be able to fill in POJOs with raw type collection attributes and default values to Object","SUCCESS","2015-07-10T00:17:26.984+01:00","0.0","0.07"
"Validated pojo test","Podam should be able to fulfill most of the javax Validation framework","SUCCESS","2015-07-10T00:17:37.979+01:00","0.0","0.13"
"Constructors unit test","Podam should be able to instantiate POJOs with immutable Collections","SUCCESS","2015-07-10T00:17:28.421+01:00","0.0","0.06"
"Constructors unit test","Podam should be able to instantiate POJOs with immutable Maps","SUCCESS","2015-07-10T00:17:29.296+01:00","0.0","0.06"
