"Story","Title","Result","Date","Stability","Duration (s)"
"Abnormal pojos test","Invoking Podam on a POJO with a circular constructor (e.g. java.net.URL) leads to a null POJO","SUCCESS","2015-06-01T23:05:23.698+01:00","0.0","0.03"
"Abnormal pojos test","Invoking Podam on a POJO with a private, no arguments constructor, should return a non null POJO","SUCCESS","2015-06-01T23:05:23.677+01:00","0.0","0.02"
"Abnormal pojos test","Invoking Podam on a POJO with both circular and non circular constructors (e.g. javax.activation.DataHandler) should lead to a non empty POJO","SUCCESS","2015-06-01T23:05:23.816+01:00","0.0","0.04"
"Podam factory basic types test","Invoking Podam on an Abstract class should return a null pojo","SUCCESS","2015-06-01T23:05:22.725+01:00","0.0","0.03"
"Podam factory basic types test","Invoking Podam on an interface should return an empty POJO","SUCCESS","2015-06-01T23:05:22.666+01:00","0.0","0.02"
"Annotations test","Podam should assign exactly the values specified with the @PodamStrategyValue annotation","SUCCESS","2015-06-01T23:05:20.077+01:00","0.0","0.15"
"Annotations test","Podam should assign precise values and lengths when a String is annotated with @PodamStringValue","SUCCESS","2015-06-01T23:05:20.531+01:00","0.0","0.06"
"Podam factory basic types test","Podam should fill POJOs with non default constructors","SUCCESS","2015-06-01T23:05:22.798+01:00","0.0","0.02"
"Abnormal pojos test","Podam should fill embedded abstract classes if a concrete type has been specified","SUCCESS","2015-06-01T23:05:23.729+01:00","0.0","0.02"
"Podam factory basic types test","Podam should fill in Maps of the containing class type","SUCCESS","2015-06-01T23:05:22.570+01:00","0.0","0.1"
"Podam factory basic types test","Podam should fill in POJOs which have a circular dependency","SUCCESS","2015-06-01T23:05:22.898+01:00","0.0","0.02"
"Podam factory basic types test","Podam should fill in POJOs with Enums","SUCCESS","2015-06-01T23:05:22.543+01:00","0.0","0.03"
"Podam factory basic types test","Podam should fill in a POJO with basic jvm types","SUCCESS","2015-06-01T23:05:22.687+01:00","0.0","0.04"
"Podam factory basic types test","Podam should fill in lists of the containing class type","SUCCESS","2015-06-01T23:05:22.817+01:00","0.0","0.08"
"Podam factory basic types test","Podam should fill recursive POJOs correctly, including all their fields","SUCCESS","2015-06-01T23:05:22.777+01:00","0.0","0.02"
"Podam factory basic types test","Podam should fill recursive POJOs when invoking the factory population directly","SUCCESS","2015-06-01T23:05:22.757+01:00","0.0","0.02"
"Abnormal pojos test","Podam should generate a non null POJO for Abstract types with a concrete type","SUCCESS","2015-06-01T23:05:23.753+01:00","0.0","0.02"
"Annotations test","Podam should handle POJOs with constructors that have one or more self references to the POJO class, provided the required constructor is annotated with @PodamConstructor","SUCCESS","2015-06-01T23:05:20.345+01:00","0.0","0.04"
"Collections test","Podam should handle POJOs with no setters and collections in the constructor","SUCCESS","2015-06-01T23:05:23.329+01:00","0.0","0.06"
"Abnormal pojos test","Podam should handle POJOs with private constructors only","SUCCESS","2015-06-01T23:05:23.795+01:00","0.0","0.02"
"Abnormal pojos test","Podam should handle POJOs with self reference constructors but not default constructors without the need for the @PodamConstructor annotation","SUCCESS","2015-06-01T23:05:23.774+01:00","0.0","0.02"
"Singletons test","Podam should handle Singletons with parameters in the static method","SUCCESS","2015-06-01T23:05:24.257+01:00","0.0","0.04"
"Inheritance test","Podam should handle basic inheritance scenarios","SUCCESS","2015-06-01T23:05:24.069+01:00","0.0","0.03"
"Annotations test","Podam should handle both native and wrapped boolean values with @PodamBooleanValue annotation","SUCCESS","2015-06-01T23:05:19.829+01:00","0.0","0.05"
"Annotations test","Podam should handle both native and wrapped byte values with @PodamByteValue annotation","SUCCESS","2015-06-01T23:05:19.885+01:00","0.0","0.07"
"Annotations test","Podam should handle both native and wrapped char values with @PodamCharValue annotation","SUCCESS","2015-06-01T23:05:19.954+01:00","0.0","0.07"
"Annotations test","Podam should handle both native and wrapped double values with @PodamDoubleValue annotation","SUCCESS","2015-06-01T23:05:20.024+01:00","0.0","0.05"
"Annotations test","Podam should handle both native and wrapped float values with @PodamFloatValue annotation","SUCCESS","2015-06-01T23:05:20.288+01:00","0.0","0.06"
"Annotations test","Podam should handle both native and wrapped integer values with @PodamIntValue annotation","SUCCESS","2015-06-01T23:05:19.732+01:00","0.0","0.1"
"Annotations test","Podam should handle both native and wrapped long values with @PodamLongValue annotation","SUCCESS","2015-06-01T23:05:20.384+01:00","0.0","0.06"
"Annotations test","Podam should handle both native and wrapped short values with @PodamShortValue annotation","SUCCESS","2015-06-01T23:05:20.443+01:00","0.0","0.05"
"Annotations test","Podam should handle immutable POJOs annotated with @PodamConstructor","SUCCESS","2015-06-01T23:05:20.226+01:00","0.0","0.06"
"Collections test","Podam should handle immutable POJOs with generified collections in the constructor","SUCCESS","2015-06-01T23:05:23.391+01:00","0.0","0.06"
"Collections test","Podam should handle immutable Pojos with non generic collections","SUCCESS","2015-06-01T23:05:23.454+01:00","0.0","0.04"
"Podam factory basic types test","Podam should handle immutable non annotated POJOs","SUCCESS","2015-06-01T23:05:22.494+01:00","0.0","0.04"
"Collections test","Podam should handle standard collections","SUCCESS","2015-06-01T23:05:23.236+01:00","0.0","0.09"
"Annotations test","Podam should not fill POJO's attributes annotated with @PodamExclude","SUCCESS","2015-06-01T23:05:19.377+01:00","0.0","0.21"
"Annotations test","The @PodamCollection annotation should allow to set sizes on all collections and arrays","SUCCESS","2015-06-01T23:05:20.492+01:00","0.0","0.04"
