"Story","Title","Result","Date","Stability","Duration (s)"
"Podam factory basic types test","Invoking Podam on an Abstract class should return a null pojo","SUCCESS","2015-07-10T00:17:25.675+01:00","0.0","0.09"
"Podam factory basic types test","Invoking Podam on an interface should return an empty POJO","SUCCESS","2015-07-10T00:17:25.507+01:00","0.0","0.07"
"Podam factory basic types test","Podam should fill Java native types","SUCCESS","2015-07-10T00:17:25.086+01:00","0.0","0.13"
"Podam factory basic types test","Podam should fill POJOs with non default constructors","SUCCESS","2015-07-10T00:17:25.995+01:00","0.0","0.07"
"Podam factory basic types test","Podam should fill arrays with elements","SUCCESS","2015-07-10T00:17:25.844+01:00","0.0","0.08"
"Podam factory basic types test","Podam should fill in Maps of the containing class type","SUCCESS","2015-07-10T00:17:25.299+01:00","0.0","0.21"
"Podam factory basic types test","Podam should fill in POJOs which have a circular dependency","SUCCESS","2015-07-10T00:17:26.255+01:00","0.0","0.1"
"Podam factory basic types test","Podam should fill in POJOs with Enums","SUCCESS","2015-07-10T00:17:25.218+01:00","0.0","0.08"
"Podam factory basic types test","Podam should fill in a POJO with basic jvm types","SUCCESS","2015-07-10T00:17:25.578+01:00","0.0","0.1"
"Podam factory basic types test","Podam should fill in lists of the containing class type","SUCCESS","2015-07-10T00:17:26.066+01:00","0.0","0.19"
"Podam factory basic types test","Podam should fill recursive POJOs correctly, including all their fields","SUCCESS","2015-07-10T00:17:25.920+01:00","0.0","0.07"
"Podam factory basic types test","Podam should fill recursive POJOs when invoking the factory population directly","SUCCESS","2015-07-10T00:17:25.763+01:00","0.0","0.08"
"Boolean unit test","Podam should handle booleans correctly","SUCCESS","2015-07-10T00:17:23.979+01:00","0.0","0.09"
"Podam factory basic types test","Podam should handle immutable non annotated POJOs","SUCCESS","2015-07-10T00:17:24.991+01:00","0.0","0.09"
"Class unit test","Podam should handle the manufacturing of POJOs with generic types in constructor","SUCCESS","2015-07-10T00:17:24.344+01:00","0.0","0.11"
"Class unit test","Podam should handle the manufacturing of basic types","SUCCESS","2015-07-10T00:17:24.458+01:00","0.0","0.11"
"Class unit test","Podam should handle the manufacturing of generic POJOs","SUCCESS","2015-07-10T00:17:24.571+01:00","0.0","0.15"
