"Story","Title","Result","Date","Stability","Duration (s)"
"Constructors unit test","Podam should be able to create instances of JAXBElement","SUCCESS","2016-09-03T17:53:02.251+01:00","0.0","0.0"
"Constructors unit test","Podam should be able to create instances of JAXBElements declared as instance variables in a POJO","SUCCESS","2016-09-03T17:53:02.193+01:00","0.0","0.0"
"Constructors unit test","Podam should be able to create instances of abstract POJOs with factory methods which return concrete types","SUCCESS","2016-09-03T17:53:02.245+01:00","0.0","0.0"
"Constructors unit test","Podam should be able to create instances of generic POJOs with factory methods when the concrete type is known","SUCCESS","2016-09-03T17:53:02.216+01:00","0.0","0.0"
"Constructors unit test","Podam should be able to create instances of inner classes","SUCCESS","2016-09-03T17:53:02.200+01:00","0.0","0.0"
"Constructors unit test","Podam should be able to instantiate POJOs with immutable Collections","SUCCESS","2016-09-03T17:53:02.190+01:00","0.0","0.0"
"Constructors unit test","Podam should be able to instantiate POJOs with immutable Maps","SUCCESS","2016-09-03T17:53:02.239+01:00","0.0","0.0"
"Constructors unit test","Podam should be able to manufacture POJOs which contain immutable collections","SUCCESS","2016-09-03T17:53:02.203+01:00","0.0","0.0"
"Constructors unit test","Podam should be able to manufacture any type of Lists","SUCCESS","2016-09-03T17:53:02.198+01:00","0.0","0.0"
"Constructors unit test","Podam should be able to manufacture any type of Maps","SUCCESS","2016-09-03T17:53:02.233+01:00","0.0","0.0"
"Constructors unit test","Podam should be able to manufacture instances of the Observable class","SUCCESS","2016-09-03T17:53:02.188+01:00","0.0","0.0"
"Constructors unit test","Podam should choose the fullest constructor when invoked for full data","SUCCESS","2016-09-03T17:53:02.246+01:00","0.0","0.0"
"Constructors unit test","Podam should choose the lightest constructor when the standard manufacturing method is invoked","SUCCESS","2016-09-03T17:53:02.183+01:00","0.0","0.0"
"Constructors unit test","Podam should correctly handle generic collections in constructor with memoization disabled","SUCCESS","2016-09-03T17:53:02.226+01:00","0.0","0.0"
"Constructors unit test","Podam should correctly handle generic collections in constructor with memoization enabled","SUCCESS","2016-09-03T17:53:02.208+01:00","0.0","0.01"
"Read only complex types test","Podam should create an instance of an Abstract class with a factory method which returns a concrete type even if the concrete type has got read-only attributes. These will be empty.","SUCCESS","2016-09-03T17:53:02.302+01:00","0.0","0.0"
"Constructors unit test","Podam should create instances of POJOs extending generic classes","SUCCESS","2016-09-03T17:53:02.219+01:00","0.0","0.0"
"Read only complex types test","Podam should fill in POJOs which contain internal loops (e.g. objects that reference parents)","SUCCESS","2016-09-03T17:53:02.308+01:00","0.0","0.01"
"Read only complex types test","Podam should fill in complex (e.g. with more than two generic types), read-only POJOs","SUCCESS","2016-09-03T17:53:02.304+01:00","0.0","0.0"
"Read only complex types test","Podam should fill in read-only POJOs","SUCCESS","2016-09-03T17:53:02.314+01:00","0.0","0.0"
"Constructors unit test","Podam should handle classes with generic Key/Value types","SUCCESS","2016-09-03T17:53:02.224+01:00","0.0","0.0"
"Constructors unit test","Podam should handle constructors with generic arrays during Pojo instantiation","SUCCESS","2016-09-03T17:53:02.237+01:00","0.0","0.0"
"Constructors unit test","Podam should handle constructors with multiple generics during Pojo instantiation","SUCCESS","2016-09-03T17:53:02.242+01:00","0.0","0.0"
"Constructors unit test","Podam should handle generics in setters during Pojo instantiation","SUCCESS","2016-09-03T17:53:02.230+01:00","0.0","0.0"
"Constructors unit test","Podam should handle generics in static constructors during POJO instantiation","SUCCESS","2016-09-03T17:53:02.249+01:00","0.0","0.0"
"Constructors unit test","Podam should handle generics in the constructor","SUCCESS","2016-09-03T17:53:02.206+01:00","0.0","0.0"
"Constructors unit test","Podam should manufacture package private POJOs","SUCCESS","2016-09-03T17:53:02.186+01:00","0.0","0.0"
