"Story","Title","Result","Date","Stability","Duration (s)"
"Annotations test","Podam should assign precise values and lengths when a String is annotated with @PodamStringValue","SUCCESS","2015-05-31T21:29:59.823+01:00","0.0","0.03"
"Annotations test","Podam should handle POJOs with constructors that have one or more self references to the POJO class, provided the required constructor is annotated with @PodamConstructor","SUCCESS","2015-05-31T21:29:59.571+01:00","0.0","0.06"
"Annotations test","Podam should handle both native and wrapped boolean values with @PodamBooleanValue annotation","SUCCESS","2015-05-31T21:29:59.178+01:00","0.0","0.05"
"Annotations test","Podam should handle both native and wrapped byte values with @PodamByteValue annotation","SUCCESS","2015-05-31T21:29:59.230+01:00","0.0","0.06"
"Annotations test","Podam should handle both native and wrapped char values with @PodamCharValue annotation","SUCCESS","2015-05-31T21:29:59.295+01:00","0.0","0.07"
"Annotations test","Podam should handle both native and wrapped double values with @PodamDoubleValue annotation","SUCCESS","2015-05-31T21:29:59.367+01:00","0.0","0.05"
"Annotations test","Podam should handle both native and wrapped float values with @PodamFloatValue annotation","SUCCESS","2015-05-31T21:29:59.498+01:00","0.0","0.07"
"Annotations test","Podam should handle both native and wrapped integer values with @PodamIntValue annotation","SUCCESS","2015-05-31T21:29:59.077+01:00","0.0","0.1"
"Annotations test","Podam should handle both native and wrapped long values with @PodamLongValue annotation","SUCCESS","2015-05-31T21:29:59.631+01:00","0.0","0.07"
"Annotations test","Podam should handle both native and wrapped short values with @PodamShortValue annotation","SUCCESS","2015-05-31T21:29:59.698+01:00","0.0","0.08"
"Annotations test","Podam should handle immutable POJOs annotated with @PodamConstructor","SUCCESS","2015-05-31T21:29:59.423+01:00","0.0","0.07"
"Annotations test","Podam should not fill POJO's attributes annotated with @PodamExclude","SUCCESS","2015-05-31T21:29:58.722+01:00","0.0","0.22"
"Annotations test","The @PodamCollection annotation should allow to set sizes on all collections and arrays","SUCCESS","2015-05-31T21:29:59.775+01:00","0.0","0.05"
