"Story","Title","Result","Date","Stability","Duration (s)"
"Podam factory basic types test","Invoking Podam on an Abstract class should return a null pojo","SUCCESS","2015-06-20T21:17:17.100+01:00","0.0","0.02"
"Podam factory basic types test","Invoking Podam on an interface should return an empty POJO","SUCCESS","2015-06-20T21:17:17.038+01:00","0.0","0.02"
"Podam factory basic types test","Podam should fill Java native types","SUCCESS","2015-06-20T21:17:16.832+01:00","0.0","0.05"
"Podam factory basic types test","Podam should fill POJOs with non default constructors","SUCCESS","2015-06-20T21:17:17.190+01:00","0.0","0.02"
"Podam factory basic types test","Podam should fill arrays with elements","SUCCESS","2015-06-20T21:17:17.143+01:00","0.0","0.02"
"Podam factory basic types test","Podam should fill in Maps of the containing class type","SUCCESS","2015-06-20T21:17:16.922+01:00","0.0","0.11"
"Podam factory basic types test","Podam should fill in POJOs which have a circular dependency","SUCCESS","2015-06-20T21:17:17.307+01:00","0.0","0.02"
"Podam factory basic types test","Podam should fill in POJOs with Enums","SUCCESS","2015-06-20T21:17:16.888+01:00","0.0","0.03"
"Podam factory basic types test","Podam should fill in a POJO with basic jvm types","SUCCESS","2015-06-20T21:17:17.061+01:00","0.0","0.03"
"Podam factory basic types test","Podam should fill in lists of the containing class type","SUCCESS","2015-06-20T21:17:17.211+01:00","0.0","0.1"
"Podam factory basic types test","Podam should fill recursive POJOs correctly, including all their fields","SUCCESS","2015-06-20T21:17:17.167+01:00","0.0","0.02"
"Podam factory basic types test","Podam should fill recursive POJOs when invoking the factory population directly","SUCCESS","2015-06-20T21:17:17.122+01:00","0.0","0.02"
"Boolean unit test","Podam should handle booleans correctly","SUCCESS","2015-06-20T21:17:16.086+01:00","0.0","0.04"
"Podam factory basic types test","Podam should handle immutable non annotated POJOs","SUCCESS","2015-06-20T21:17:16.794+01:00","0.0","0.04"
"Class unit test","Podam should handle the manufacturing of POJOs with generic types in constructor","SUCCESS","2015-06-20T21:17:16.408+01:00","0.0","0.03"
"Class unit test","Podam should handle the manufacturing of basic types","SUCCESS","2015-06-20T21:17:16.437+01:00","0.0","0.03"
"Class unit test","Podam should handle the manufacturing of generic POJOs","SUCCESS","2015-06-20T21:17:16.464+01:00","0.0","0.03"
