"Story","Title","Result","Date","Stability","Duration (s)"
"Constructors unit test","Podam should be able to create instances of JAXBElement","SUCCESS","2016-08-21T23:45:00.465+07:00","0.0","0.02"
"Constructors unit test","Podam should be able to create instances of JAXBElements declared as instance variables in a POJO","SUCCESS","2016-08-21T23:44:59.809+07:00","0.0","0.03"
"Constructors unit test","Podam should be able to create instances of abstract POJOs with factory methods which return concrete types","SUCCESS","2016-08-21T23:45:00.316+07:00","0.0","0.03"
"Constructors unit test","Podam should be able to create instances of generic POJOs with factory methods when the concrete type is known","SUCCESS","2016-08-21T23:45:00.020+07:00","0.0","0.04"
"Constructors unit test","Podam should be able to create instances of inner classes","SUCCESS","2016-08-21T23:44:59.881+07:00","0.0","0.04"
"Constructors unit test","Podam should be able to instantiate POJOs with immutable Collections","SUCCESS","2016-08-21T23:44:59.768+07:00","0.0","0.04"
"Constructors unit test","Podam should be able to instantiate POJOs with immutable Maps","SUCCESS","2016-08-21T23:45:00.245+07:00","0.0","0.03"
"Constructors unit test","Podam should be able to manufacture POJOs which contain immutable collections","SUCCESS","2016-08-21T23:44:59.917+07:00","0.0","0.03"
"Constructors unit test","Podam should be able to manufacture any type of Lists","SUCCESS","2016-08-21T23:44:59.844+07:00","0.0","0.04"
"Constructors unit test","Podam should be able to manufacture any type of Maps","SUCCESS","2016-08-21T23:45:00.183+07:00","0.0","0.03"
"Constructors unit test","Podam should be able to manufacture instances of the Observable class","SUCCESS","2016-08-21T23:44:59.724+07:00","0.0","0.04"
"Constructors unit test","Podam should choose the fullest constructor when invoked for full data","SUCCESS","2016-08-21T23:45:00.347+07:00","0.0","0.09"
"Constructors unit test","Podam should choose the lightest constructor when the standard manufacturing method is invoked","SUCCESS","2016-08-21T23:44:59.654+07:00","0.0","0.04"
"Constructors unit test","Podam should correctly handle generic collections in constructor with memoization disabled","SUCCESS","2016-08-21T23:45:00.117+07:00","0.0","0.03"
"Constructors unit test","Podam should correctly handle generic collections in constructor with memoization enabled","SUCCESS","2016-08-21T23:44:59.982+07:00","0.0","0.04"
"Read only complex types test","Podam should create an instance of an Abstract class with a factory method which returns a concrete type even if the concrete type has got read-only attributes. These will be empty.","SUCCESS","2016-08-21T23:45:00.535+07:00","0.0","0.04"
"Constructors unit test","Podam should create instances of POJOs extending generic classes","SUCCESS","2016-08-21T23:45:00.056+07:00","0.0","0.03"
"Read only complex types test","Podam should fill in POJOs which contain internal loops (e.g. objects that reference parents)","SUCCESS","2016-08-21T23:45:00.616+07:00","0.0","0.03"
"Read only complex types test","Podam should fill in complex (e.g. with more than two generic types), read-only POJOs","SUCCESS","2016-08-21T23:45:00.572+07:00","0.0","0.04"
"Read only complex types test","Podam should fill in read-only POJOs","SUCCESS","2016-08-21T23:45:00.650+07:00","0.0","0.03"
"Constructors unit test","Podam should handle classes with generic Key/Value types","SUCCESS","2016-08-21T23:45:00.084+07:00","0.0","0.03"
"Constructors unit test","Podam should handle constructors with generic arrays during Pojo instantiation","SUCCESS","2016-08-21T23:45:00.215+07:00","0.0","0.03"
"Constructors unit test","Podam should handle constructors with multiple generics during Pojo instantiation","SUCCESS","2016-08-21T23:45:00.277+07:00","0.0","0.04"
"Constructors unit test","Podam should handle generics in setters during Pojo instantiation","SUCCESS","2016-08-21T23:45:00.147+07:00","0.0","0.03"
"Constructors unit test","Podam should handle generics in static constructors during POJO instantiation","SUCCESS","2016-08-21T23:45:00.434+07:00","0.0","0.03"
"Constructors unit test","Podam should handle generics in the constructor","SUCCESS","2016-08-21T23:44:59.952+07:00","0.0","0.03"
"Constructors unit test","Podam should manufacture package private POJOs","SUCCESS","2016-08-21T23:44:59.691+07:00","0.0","0.03"
